Accession,Description,Norm Avg Ratio
P61088,Ubiquitin-conjugating enzyme E2 N,1.055547738
Q9UBH6,Xenotropic and polytropic retrovirus receptor 1,1.055517557
P09525,Annexin A4,1.055168245
O95466,Formin-like protein 1,1.054105462
P51398,"28S ribosomal protein S29, mitochondrial",1.052901296
Q9UI14,Prenylated Rab acceptor protein 1,1.052748968
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",1.051353485
O15173,Membrane-associated progesterone receptor component 2,1.051311256
Q8WUK0,Protein-tyrosine phosphatase mitochondrial 1,1.05118002
O75340,Programmed cell death protein 6,1.051087061
Q9NVT9,Armadillo repeat-containing protein 1,1.050635579
Q9P0L0,Vesicle-associated membrane protein-associated protein A,1.050537042
P23634,Plasma membrane calcium-transporting ATPase 4,1.050507566
O43760,Synaptogyrin-2,1.050466659
Q9NQC3,Reticulon-4,1.050461201
O15020,"Spectrin beta chain, brain 2",1.050423221
P62314,Small nuclear ribonucleoprotein Sm D1,1.050166801
Q14677,Clathrin interactor 1,1.049861365
P56134,"ATP synthase subunit f, mitochondrial",1.049657254
P51148,Ras-related protein Rab-5C,1.048235517
Q96HS1,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",1.046743397
Q01081,Splicing factor U2AF 35 kDa subunit,1.046470708
O43826,Glucose-6-phosphate translocase,1.046336839
P26010,Integrin beta-7,1.046223179
Q9NP72,Ras-related protein Rab-18,0.827404047
Q02818,Nucleobindin-1,0.827362288
P82650,"28S ribosomal protein S22, mitochondrial",0.827210787
O00483,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4,0.827109021
Q9Y5S1,Transient receptor potential cation channel subfamily V member 2,0.826991366
P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial",0.82697048
Q9HCN8,Stromal cell-derived factor 2-like protein 1,0.826140444
O95782,AP-2 complex subunit alpha-1,0.826023546
Q9P2X0,Dolichol-phosphate mannosyltransferase subunit 3,0.825734065
P42356,Phosphatidylinositol 4-kinase alpha,0.825416794
O14561,"Acyl carrier protein, mitochondrial",0.824531331
O75934,Pre-mRNA-splicing factor SPF27,0.823561681
Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1,0.823287108
Q9H8Y8,Golgi reassembly-stacking protein 2,0.822739588
Q8WWI5,Choline transporter-like protein 1,0.822234693
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",0.82197111
P16401,Histone H1.5,0.821883553
Q14739,Lamin-B receptor,0.82154476
A4D1P6,WD repeat-containing protein 91,0.820844279
O95202,"LETM1 and EF-hand domain-containing protein 1, mitochondrial",0.820537519
O15031,Plexin-B2,0.820317697
Q99828,Calcium and integrin-binding protein 1,0.820184252
Q99536,Synaptic vesicle membrane protein VAT-1 homolog,0.820167553
Q8WWC4,"Uncharacterized protein C2orf47, mitochondrial",0.820161986
P60953,Cell division control protein 42 homolog,0.82000827
O75955,Flotillin-1,0.820006123
P51610,Host cell factor 1,0.819717533
Q99798,"Aconitate hydratase, mitochondrial",0.819429299
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",0.819424059
Q15526,Surfeit locus protein 1,0.819271341
Q14156,Protein EFR3 homolog A,0.819188276
Q03519,Antigen peptide transporter 2,0.818987447
Q6WKZ4,Rab11 family-interacting protein 1,0.818970748
O75821,Eukaryotic translation initiation factor 3 subunit G,0.818800909
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.818714687
Q16850,Lanosterol 14-alpha demethylase,0.818313897
Q09666,Neuroblast differentiation-associated protein AHNAK,0.818130201
O14880,Microsomal glutathione S-transferase 3,0.817940388
Q7Z7H5,Transmembrane emp24 domain-containing protein 4,0.817907809
O95747,Serine/threonine-protein kinase OSR1,0.817861527
P61254,60S ribosomal protein L26,0.81695228
Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial",0.816761632
Q9NTJ5,Phosphatidylinositide phosphatase SAC1,0.816749701
P68400,Casein kinase II subunit alpha,0.816274783
P41240,Tyrosine-protein kinase CSK,0.81609285
Q12996,Cleavage stimulation factor subunit 3,0.815927213
Q5T3U5,Multidrug resistance-associated protein 7,0.815925854
Q9UJS0,Calcium-binding mitochondrial carrier protein Aralar2,0.815864622
P17858,"6-phosphofructokinase, liver type",0.815847922
Q9Y2B0,Protein canopy homolog 2,0.815626114
Q9H3N1,Thioredoxin-related transmembrane protein 1,0.81557787
Q9H9B4,Sideroflexin-1,0.814929444
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",0.814761815
Q8NCG7,Sn1-specific diacylglycerol lipase beta,0.814701216
Q8TEM1,Nuclear pore membrane glycoprotein 210,0.814516217
Q9Y6M9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,0.814378148
P53007,"Tricarboxylate transport protein, mitochondrial",0.813977567
Q9Y6M5,Zinc transporter 1,0.813921364
O75695,Protein XRP2,0.813615742
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.812975591
P03905,NADH-ubiquinone oxidoreductase chain 4,0.812598546
Q13363,C-terminal-binding protein 1,0.812260005
Q8N1F8,Serine/threonine-protein kinase 11-interacting protein,0.812065351
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial",0.811725069
Q8N3D4,EH domain-binding protein 1-like protein 1,0.811149832
Q2VPB7,Uncharacterized protein DKFZp761E198,0.811069437
P09429,High mobility group protein B1,0.811017458
O00159,Myosin-Ic,0.810922164
Q9NRW7,Vacuolar protein sorting-associated protein 45,0.810570848
Q9Y3B3,Transmembrane emp24 domain-containing protein 7,0.810554148
Q709C8,Vacuolar protein sorting-associated protein 13C,0.809952963
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,0.809162515
O43795,Myosin-Ib,0.808884188
Q9Y6M7,Sodium bicarbonate cotransporter 3,0.808541141
O75352,Mannose-P-dolichol utilization defect 1 protein,0.808190777
Q9Y6N7,Roundabout homolog 1,0.808113508
P29320,Ephrin type-A receptor 3,0.80711403
O14579,Coatomer subunit epsilon,0.806867719
Q96T49,Protein phosphatase 1 regulatory inhibitor subunit 16B,0.806146962
P53992,Protein transport protein Sec24C,0.806130606
Q9H490,Phosphatidylinositol glycan anchor biosynthesis class U protein,0.805829766
P21796,Voltage-dependent anion-selective channel protein 1,0.805139936
Q9UL25,Ras-related protein Rab-21,0.805066272
Q969V3,Nicalin,0.804976557
Q9HAV0,Guanine nucleotide-binding protein subunit beta-4,0.804851997
Q8TAD4,Zinc transporter 5,0.804851377
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,0.804759387
O75396,Vesicle-trafficking protein SEC22b,0.804085836
Q5RI15,Protein FAM36A,0.803370642
Q9ULP9,TBC1 domain family member 24,0.803133959
Q96CS3,FAS-associated factor 2,0.802644104
P61106,Ras-related protein Rab-14,0.802499374
P48556,26S proteasome non-ATPase regulatory subunit 8,0.802404822
P52788,Spermine synthase,0.802170594
Q92552,"28S ribosomal protein S27, mitochondrial",0.80181469
O75558,Syntaxin-11,0.80166996
P48047,"ATP synthase subunit O, mitochondrial",0.801653261
O00487,26S proteasome non-ATPase regulatory subunit 14,0.801210642
Q9UGP8,Translocation protein SEC63 homolog,0.801041184
O43752,Syntaxin-6,0.800740349
P11233,Ras-related protein Ral-A,0.800701383
P61803,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,0.800133597
P52907,F-actin-capping protein subunit alpha-1,0.799973904
Q9H400,Lck-interacting transmembrane adapter 1,0.799942349
Q13492,Phosphatidylinositol-binding clathrin assembly protein,0.799772144
Q8WUM4,Programmed cell death 6-interacting protein,0.799711395
Q8WU76,Sec1 family domain-containing protein 2,0.799643742
Q9NVI7,ATPase family AAA domain-containing protein 3A,0.799559144
P40763,Signal transducer and activator of transcription 3,0.798970191
P24539,"ATP synthase subunit b, mitochondrial",0.798755674
Q92536,Y+L amino acid transporter 2,0.798101812
O14548,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",0.797986367
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,0.79753692
P05023,Sodium/potassium-transporting ATPase subunit alpha-1,0.797261265
Q8TC12,Retinol dehydrogenase 11,0.797112536
Q10567,AP-1 complex subunit beta-1,0.79707757
Q9NUQ9,Protein FAM49B,0.796448529
A0FGR8,Extended synaptotagmin-2,0.796323308
P61006,Ras-related protein Rab-8A,0.796307953
P51151,Ras-related protein Rab-9A,0.79629358
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1,0.796240192
Q9H061,Transmembrane protein 126A,0.79592608
Q9BXW6,Oxysterol-binding protein-related protein 1,0.79560033
O43676,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,0.795399686
P35250,Replication factor C subunit 2,0.79537421
O75533,Splicing factor 3B subunit 1,0.795311024
Q9BXS9,Solute carrier family 26 member 6,0.794795291
Q53GQ0,Estradiol 17-beta-dehydrogenase 12,0.7947771
Q15382,GTP-binding protein Rheb,0.794628295
Q8NBJ5,Procollagen galactosyltransferase 1,0.793921423
P99999,Cytochrome c,0.793730616
Q9H4M9,EH domain-containing protein 1,0.793336859
P18031,Tyrosine-protein phosphatase non-receptor type 1,0.793191417
Q96NB2,Sideroflexin-2,0.79272454
O15321,Transmembrane 9 superfamily member 1,0.792613716
Q13423,"NAD(P) transhydrogenase, mitochondrial",0.792529711
A1L0T0,Acetolactate synthase-like protein,0.792334883
Q8WVM8,Sec1 family domain-containing protein 1,0.791956021
P27824,Calnexin,0.791839461
Q96P70,Importin-9,0.791540942
Q92882,Osteoclast-stimulating factor 1,0.791416405
P57737,Coronin-7,0.791370787
O60762,Dolichol-phosphate mannosyltransferase,0.791338222
Q15006,Tetratricopeptide repeat protein 35,0.791210443
Q9UHX3,EGF-like module-containing mucin-like hormone receptor-like 2,0.790697677
P61586,Transforming protein RhoA,0.790612961
Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,0.79033093
O60884,DnaJ homolog subfamily A member 2,0.789885608
Q12959,Disks large homolog 1,0.789460345
P55039,Developmentally-regulated GTP-binding protein 2,0.789228757
P47712,Cytosolic phospholipase A2,0.789223382
Q9H4A6,Golgi phosphoprotein 3,0.789089593
Q96AG4,Leucine-rich repeat-containing protein 59,0.788688803
P06576,"ATP synthase subunit beta, mitochondrial",0.788473933
P35221,Catenin alpha-1,0.788353012
P20020,Plasma membrane calcium-transporting ATPase 1,0.788332545
O00154,Cytosolic acyl coenzyme A thioester hydrolase,0.787410767
Q8NBQ5,Estradiol 17-beta-dehydrogenase 11,0.787286022
P08754,Guanine nucleotide-binding protein G(k) subunit alpha,0.786879679
P60604,Ubiquitin-conjugating enzyme E2 G2,0.786804514
Q12768,WASH complex subunit strumpellin,0.786679284
Q6UXV4,Apolipoprotein O-like,0.786517855
Q9ULC5,Long-chain-fatty-acid--CoA ligase 5,0.786317459
Q8IY95,Transmembrane protein 192,0.7859946
O75027,"ATP-binding cassette sub-family B member 7, mitochondrial",0.785961201
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",0.785945254
O95563,Brain protein 44,0.78589192
Q8IVB4,Sodium/hydrogen exchanger 9,0.785833171
P21964,Catechol O-methyltransferase,0.785488046
P55957,BH3-interacting domain death agonist,0.785348889
Q13405,"39S ribosomal protein L49, mitochondrial",0.785304858
Q15833,Syntaxin-binding protein 2,0.785248685
P55084,"Trifunctional enzyme subunit beta, mitochondrial",0.785115088
Q9UNS2,COP9 signalosome complex subunit 3,0.785083788
P20645,Cation-dependent mannose-6-phosphate receptor,0.784788671
P55072,Transitional endoplasmic reticulum ATPase,0.784547302
O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",0.784252275
P07686,Beta-hexosaminidase subunit beta,0.784182031
Q06265,Exosome complex component RRP45,0.7839676
Q9UBB4,Ataxin-10,0.783962816
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2,0.783701454
Q9Y678,Coatomer subunit gamma,0.783673356
P40939,"Trifunctional enzyme subunit alpha, mitochondrial",0.783630435
P40937,Replication factor C subunit 5,0.782313085
Q9Y5L0,Transportin-3,0.782120293
P17568,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,0.781844581
Q8IX12,Cell division cycle and apoptosis regulator protein 1,0.781678567
O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,0.781247231
P23368,"NAD-dependent malic enzyme, mitochondrial",0.780383534
O00214,Galectin-8,0.780194774
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,0.78000686
Q9NVH1,DnaJ homolog subfamily C member 11,0.779971453
Q9BZF1,Oxysterol-binding protein-related protein 8,0.779919675
P11171,Protein 4.1,0.779684665
Q86UE4,Protein LYRIC,0.779675035
P62820,Ras-related protein Rab-1A,0.7795092
P54920,Alpha-soluble NSF attachment protein,0.779310006
Q02223,Tumor necrosis factor receptor superfamily member 17,0.7788288
P61221,ATP-binding cassette sub-family E member 1,0.778763673
Q8NBW4,Putative sodium-coupled neutral amino acid transporter 9,0.778596677
Q9Y450,HBS1-like protein,0.778395415
O75251,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",0.777138245
Q99808,Equilibrative nucleoside transporter 1,0.776698489
P48735,"Isocitrate dehydrogenase [NADP], mitochondrial",0.776538591
Q05519,Serine/arginine-rich splicing factor 11,0.776464694
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",0.775780011
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,0.775702079
Q13232,Nucleoside diphosphate kinase 3,0.775238527
P56385,"ATP synthase subunit e, mitochondrial",0.774851255
P62306,Small nuclear ribonucleoprotein F,0.774848613
P09669,Cytochrome c oxidase subunit 6C,0.774303832
P22059,Oxysterol-binding protein 1,0.774277046
Q9BXN2,C-type lectin domain family 7 member A,0.773839775
P60709,"Actin, cytoplasmic 1",0.773625047
Q9Y276,Mitochondrial chaperone BCS1,0.773353283
O95721,Synaptosomal-associated protein 29,0.773252804
Q9BQE5,Apolipoprotein L2,0.772885639
Q96HE7,ERO1-like protein alpha,0.772814583
P19367,Hexokinase-1,0.772805945
Q9Y2D5,A-kinase anchor protein 2,0.772618219
O75431,Metaxin-2,0.772345459
O15145,Actin-related protein 2/3 complex subunit 3,0.771677475
Q9UIA9,Exportin-7,0.771672637
Q9UI30,tRNA methyltransferase 112 homolog,0.77160511
P06213,Insulin receptor,0.771594931
Q9UJZ1,Stomatin-like protein 2,0.770987225
P52789,Hexokinase-2,0.770781263
P25705,"ATP synthase subunit alpha, mitochondrial",0.770324807
Q92520,Protein FAM3C,0.770194156
Q5T9A4,ATPase family AAA domain-containing protein 3B,0.7701487
P15927,Replication protein A 32 kDa subunit,0.770109638
O43169,Cytochrome b5 type B,0.769896879
Q9NYP7,Elongation of very long chain fatty acids protein 5,0.769654086
P07948,Tyrosine-protein kinase Lyn,0.769434162
P13693,Translationally-controlled tumor protein,0.769155835
Q96RD7,Pannexin-1,0.769038938
Q9ULT0,Tetratricopeptide repeat protein 7A,0.768608354
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,0.768571349
Q9Y394,Dehydrogenase/reductase SDR family member 7,0.768284874
P09211,Glutathione S-transferase P,0.768123738
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",0.767881523
Q9H6V9,UPF0554 protein C2orf43,0.767876011
Q15286,Ras-related protein Rab-35,0.767413618
Q99959,Plakophilin-2,0.767318879
Q9P2I0,Cleavage and polyadenylation specificity factor subunit 2,0.767308316
O75367,Core histone macro-H2A.1,0.767208224
Q15629,Translocating chain-associated membrane protein 1,0.767066267
O75410,Transforming acidic coiled-coil-containing protein 1,0.766162648
Q12846,Syntaxin-4,0.765576349
P42285,Superkiller viralicidic activity 2-like 2,0.765172665
Q96SB4,Serine/threonine-protein kinase SRPK1,0.7650533
Q96M27,Protein PRRC1,0.764374142
Q01780,Exosome component 10,0.76437365
P53621,Coatomer subunit alpha,0.764072787
Q13303,Voltage-gated potassium channel subunit beta-2,0.763760816
P04920,Anion exchange protein 2,0.763483022
Q9HD20,Probable cation-transporting ATPase 13A1,0.763265859
O96008,Mitochondrial import receptor subunit TOM40 homolog,0.763027081
O15260,Surfeit locus protein 4,0.762590088
Q9Y679,Ancient ubiquitous protein 1,0.762548359
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,0.761825094
P43250,G protein-coupled receptor kinase 6,0.7617331
Q15287,RNA-binding protein with serine-rich domain 1,0.760856934
P41214,Eukaryotic translation initiation factor 2D,0.760483959
P78347,General transcription factor II-I,0.760384632
Q9P0I2,Transmembrane protein 111,0.759818154
Q5BJH7,Protein YIF1B,0.759718182
Q9GZM5,Protein YIPF3,0.759670461
Q9NX63,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial",0.759354282
P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,0.759283838
Q8NB49,Probable phospholipid-transporting ATPase IG,0.759152774
Q96HY6,DDRGK domain-containing protein 1,0.758907846
P61160,Actin-related protein 2,0.758679618
Q99829,Copine-1,0.758132461
Q9H7B2,Ribosome production factor 2 homolog,0.757877349
Q9ULC3,Ras-related protein Rab-23,0.757842581
Q96BW9,"MMP37-like protein, mitochondrial",0.757373194
Q9H2D1,Mitochondrial folate transporter/carrier,0.756892761
Q13488,V-type proton ATPase 116 kDa subunit a isoform 3,0.756180244
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",0.755829553
Q9Y5K8,V-type proton ATPase subunit D,0.755551801
O15427,Monocarboxylate transporter 4,0.755540093
P08133,Annexin A6,0.755334131
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic",0.755122603
P05388,60S acidic ribosomal protein P0,0.754856611
P42224,Signal transducer and activator of transcription 1-alpha/beta,0.754455638
Q9NUP9,Protein lin-7 homolog C,0.754053828
P49321,Nuclear autoantigenic sperm protein,0.753981463
P21281,"V-type proton ATPase subunit B, brain isoform",0.753591806
Q15084,Protein disulfide-isomerase A6,0.753536919
Q96RS6,NudC domain-containing protein 1,0.75350483
O15155,BET1 homolog,0.753255446
Q9BV20,Methylthioribose-1-phosphate isomerase,0.753113481
Q9UBX3,Mitochondrial dicarboxylate carrier,0.753057419
P14866,Heterogeneous nuclear ribonucleoprotein L,0.752831433
P31146,Coronin-1A,0.752767959
O43237,Cytoplasmic dynein 1 light intermediate chain 2,0.752755276
Q8IU68,Transmembrane channel-like protein 8,0.752653146
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",0.75257313
P48681,Nestin,0.752295651
P31689,DnaJ homolog subfamily A member 1,0.751884553
P03886,NADH-ubiquinone oxidoreductase chain 1,0.751203763
Q00325,"Phosphate carrier protein, mitochondrial",0.751120265
P11216,"Glycogen phosphorylase, brain form",0.751063942
Q14CX7,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",0.750905117
Q9UNQ2,Probable dimethyladenosine transferase,0.750562826
P49590,"Probable histidyl-tRNA synthetase, mitochondrial",0.750193126
Q96CG8,Collagen triple helix repeat-containing protein 1,0.750023658
P53618,Coatomer subunit beta,0.749469936
O15247,Chloride intracellular channel protein 2,0.748950984
P61923,Coatomer subunit zeta-1,0.748898423
Q9UGH3,Solute carrier family 23 member 2,0.748888085
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",0.748565226
P53701,Cytochrome c-type heme lyase,0.748187536
Q9Y3E0,Vesicle transport protein GOT1B,0.748181135
Q96D96,Voltage-gated hydrogen channel 1,0.747908375
Q13616,Cullin-1,0.747867993
P14923,Junction plakoglobin,0.747712534
Q9BV38,WD repeat-containing protein 18,0.747407387
P42766,60S ribosomal protein L35,0.747307995
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,0.747284923
Q9Y5X3,Sorting nexin-5,0.747277384
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase,0.746862273
Q5TDH0,Protein DDI1 homolog 2,0.746474798
O43264,Centromere/kinetochore protein zw10 homolog,0.746205015
P80303,Nucleobindin-2,0.746082552
Q96CT7,Coiled-coil domain-containing protein 124,0.746038019
P04083,Annexin A1,0.745919296
P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",0.745773081
Q15437,Protein transport protein Sec23B,0.74571516
O75534,Cold shock domain-containing protein E1,0.745482537
Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50,0.745375602
Q14008,Cytoskeleton-associated protein 5,0.745203039
Q99816,Tumor susceptibility gene 101 protein,0.745126734
P52306,Rap1 GTPase-GDP dissociation stimulator 1,0.745005841
O95870,Abhydrolase domain-containing protein 16A,0.744779983
Q8IXI2,Mitochondrial Rho GTPase 1,0.74460742
P42771,"Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3",0.744552536
Q9Y3L5,Ras-related protein Rap-2c,0.744274156
P43246,DNA mismatch repair protein Msh2,0.744015065
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",0.743511457
Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",0.743444015
Q8NHG7,Small VCP/p97-interacting protein,0.743274196
P18669,Phosphoglycerate mutase 1,0.74309438
Q14444,Caprin-1,0.743076623
P61163,Alpha-centractin,0.74208578
Q5JTH9,RRP12-like protein,0.74191959
P53041,Serine/threonine-protein phosphatase 5,0.741846419
P62633,Cellular nucleic acid-binding protein,0.741725128
Q00765,Receptor expression-enhancing protein 5,0.741618191
P82979,SAP domain-containing ribonucleoprotein,0.741564839
Q12955,Ankyrin-3,0.741404725
Q53EL6,Programmed cell death protein 4,0.741046631
P61026,Ras-related protein Rab-10,0.74096134
Q8TBQ9,Protein kish-A,0.740950607
P49792,E3 SUMO-protein ligase RanBP2,0.740927941
P50570,Dynamin-2,0.740658565
Q8TAT6,Nuclear protein localization protein 4 homolog,0.740360632
O60664,Perilipin-3,0.740273202
P10586,Receptor-type tyrosine-protein phosphatase F,0.740251784
Q9HAV4,Exportin-5,0.739642072
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit,0.739558574
Q14019,Coactosin-like protein,0.739512401
P35659,Protein DEK,0.739311249
P36542,"ATP synthase subunit gamma, mitochondrial",0.739269297
P16435,NADPH--cytochrome P450 reductase,0.738946255
Q12906,Interleukin enhancer-binding factor 3,0.73877075
P55209,Nucleosome assembly protein 1-like 1,0.738638441
O15479,Melanoma-associated antigen B2,0.738614359
Q96A49,Synapse-associated protein 1,0.738497874
Q9Y3F4,Serine-threonine kinase receptor-associated protein,0.738406301
Q16891,Mitochondrial inner membrane protein,0.738361635
P21399,Cytoplasmic aconitate hydratase,0.738261571
Q969Z0,Protein TBRG4,0.738038399
P39210,Protein Mpv17,0.738009611
Q5RKV6,Exosome complex component MTR3,0.737980217
Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2,0.737686422
P33527,Multidrug resistance-associated protein 1,0.737581735
P31946,14-3-3 protein beta/alpha,0.737454347
Q9BRT2,Uncharacterized protein C6orf125,0.737450556
Q15645,Pachytene checkpoint protein 2 homolog,0.737411857
Q6NUQ1,RAD50-interacting protein 1,0.737359927
Q9H8H3,Methyltransferase-like protein 7A,0.737359793
Q96AC1,Fermitin family homolog 2,0.737218104
P08473,Neprilysin,0.737170531
P07237,Protein disulfide-isomerase,0.737114865
Q9NV96,Cell cycle control protein 50A,0.736953182
Q05048,Cleavage stimulation factor subunit 1,0.736750153
A5YKK6,CCR4-NOT transcription complex subunit 1,0.736524813
Q14498,RNA-binding protein 39,0.736396783
O75436,Vacuolar protein sorting-associated protein 26A,0.73636895
Q8NI27,THO complex subunit 2,0.736329481
P08621,U1 small nuclear ribonucleoprotein 70 kDa,0.735886627
Q9H936,Mitochondrial glutamate carrier 1,0.735717198
Q02809,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",0.735684266
O60488,Long-chain-fatty-acid--CoA ligase 4,0.735600517
Q14683,Structural maintenance of chromosomes protein 1A,0.735467171
O60313,"Dynamin-like 120 kDa protein, mitochondrial",0.735355841
P37108,Signal recognition particle 14 kDa protein,0.735332959
Q13868,Exosome complex component RRP4,0.735309155
Q8N2F6,Armadillo repeat-containing protein 10,0.734951696
P35249,Replication factor C subunit 4,0.734928173
O94832,Myosin-Id,0.734604359
Q9NP58,"ATP-binding cassette sub-family B member 6, mitochondrial",0.734454062
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",0.734111567
Q6PKG0,La-related protein 1,0.73393098
O00186,Syntaxin-binding protein 3,0.733862126
Q96P48,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",0.733804048
Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",0.73370258
Q14728,Major facilitator superfamily domain-containing protein 10,0.733511221
Q9BZZ5,Apoptosis inhibitor 5,0.733496618
Q9C0B5,Probable palmitoyltransferase ZDHHC5,0.733430232
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,0.733399403
P35268,60S ribosomal protein L22,0.733296223
Q8TCT9,Minor histocompatibility antigen H13,0.733277139
P30101,Protein disulfide-isomerase A3,0.733236122
Q9UHB9,Signal recognition particle 68 kDa protein,0.733045729
P30050,60S ribosomal protein L12,0.733034596
Q9GZY8,Mitochondrial fission factor,0.733019274
Q9BW60,Elongation of very long chain fatty acids protein 1,0.7328843
O00567,Nucleolar protein 56,0.732310947
O15144,Actin-related protein 2/3 complex subunit 2,0.732182916
Q9BZE4,Nucleolar GTP-binding protein 1,0.732088285
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,0.732030197
Q9NZ01,"Trans-2,3-enoyl-CoA reductase",0.731732027
P52701,DNA mismatch repair protein Msh6,0.731603997
P43007,Neutral amino acid transporter A,0.731537198
Q8IXI1,Mitochondrial Rho GTPase 2,0.731381335
Q56VL3,OCIA domain-containing protein 2,0.731124223
P62424,60S ribosomal protein L7a,0.731086309
P62841,40S ribosomal protein S15,0.731025077
Q99729,Heterogeneous nuclear ribonucleoprotein A/B,0.730971324
O00429,Dynamin-1-like protein,0.73092488
O60749,Sorting nexin-2,0.730892962
P26038,Moesin,0.730824682
Q13505,Metaxin-1,0.730769017
Q53GS9,U4/U6.U5 tri-snRNP-associated protein 2,0.730696652
Q7Z2W4,Zinc finger CCCH-type antiviral protein 1,0.730646038
Q96ER9,Coiled-coil domain-containing protein 51,0.730400592
P68036,Ubiquitin-conjugating enzyme E2 L3,0.730352233
Q9NVX2,Notchless protein homolog 1,0.730347725
Q9Y2X3,Nucleolar protein 58,0.730260296
Q13347,Eukaryotic translation initiation factor 3 subunit I,0.730036961
P13796,Plastin-2,0.72995043
Q8WUM9,Sodium-dependent phosphate transporter 1,0.729767041
O76094,Signal recognition particle 72 kDa protein,0.729454027
Q9NRG9,Aladin,0.729282752
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,0.729154722
Q53H12,"Acylglycerol kinase, mitochondrial",0.728982159
P12236,ADP/ATP translocase 3,0.728776198
O14735,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,0.728756678
P50336,Protoporphyrinogen oxidase,0.728683491
Q16864,V-type proton ATPase subunit F,0.728359187
O94903,Proline synthase co-transcribed bacterial homolog protein,0.728030282
P61158,Actin-related protein 3,0.728013582
P30040,Endoplasmic reticulum resident protein 29,0.727283036
O60832,H/ACA ribonucleoprotein complex subunit 4,0.727252301
Q9BWF3,RNA-binding protein 4,0.727219042
Q01433,AMP deaminase 2,0.726794511
P24390,ER lumen protein retaining receptor 1,0.726482785
O60704,Protein-tyrosine sulfotransferase 2,0.726432687
P16949,Stathmin,0.72629909
