Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q13637,RAB32_HUMAN,reviewed,Ras-related protein Rab-32,RAB32,Homo sapiens (Human),225
Q06609,RAD51_HUMAN,reviewed,DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A),RAD51 RAD51A RECA,Homo sapiens (Human),339
P04049,RAF1_HUMAN,reviewed,RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1),RAF1 RAF,Homo sapiens (Human),648
P0C0E4,RB40L_HUMAN,reviewed,Ras-related protein Rab-40A-like (Ras-like GTPase),RAB40AL RLGP,Homo sapiens (Human),278
Q8N0V3,RBFA_HUMAN,reviewed,"Putative ribosome-binding factor A, mitochondrial",RBFA C18orf22,Homo sapiens (Human),343
Q9H902,REEP1_HUMAN,reviewed,Receptor expression-enhancing protein 1,REEP1 C2orf23,Homo sapiens (Human),201
Q9UGC7,RF1ML_HUMAN,reviewed,"Peptide chain release factor 1-like, mitochondrial (Mitochondrial translational release factor 1-like) (mtRF1a)",MTRF1L MTRF1A,Homo sapiens (Human),380
O75570,RF1M_HUMAN,reviewed,"Peptide chain release factor 1, mitochondrial (MRF-1) (MtRF-1)",MTRF1,Homo sapiens (Human),445
Q9BXF6,RFIP5_HUMAN,reviewed,Rab11 family-interacting protein 5 (Rab11-FIP5) (Gamma-SNAP-associated factor 1) (Gaf-1) (Phosphoprotein pp75) (Rab11-interacting protein Rip11),RAB11FIP5 GAF1 KIAA0857 RIP11,Homo sapiens (Human),653
P41220,RGS2_HUMAN,reviewed,Regulator of G-protein signaling 2 (RGS2) (Cell growth-inhibiting gene 31 protein) (G0/G1 switch regulatory protein 8),RGS2 G0S8 GIG31,Homo sapiens (Human),211
O95153,RIMB1_HUMAN,reviewed,Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1),BZRAP1 KIAA0612 RBP1 RIMBP1,Homo sapiens (Human),1857
Q9Y572,RIPK3_HUMAN,reviewed,Receptor-interacting serine/threonine-protein kinase 3 (EC 2.7.11.1) (RIP-like protein kinase 3) (Receptor-interacting protein 3) (RIP-3),RIPK3 RIP3,Homo sapiens (Human),518
Q9BYD6,RM01_HUMAN,reviewed,"39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1)",MRPL1 BM-022,Homo sapiens (Human),325
Q5T653,RM02_HUMAN,reviewed,"39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2)",MRPL2 CGI-22,Homo sapiens (Human),305
P09001,RM03_HUMAN,reviewed,"39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3)",MRPL3 MRL3 RPML3,Homo sapiens (Human),348
Q9BYD3,RM04_HUMAN,reviewed,"39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4)",MRPL4 CDABP0091 CGI-28,Homo sapiens (Human),311
Q9BYD2,RM09_HUMAN,reviewed,"39S ribosomal protein L9, mitochondrial (L9mt) (MRP-L9)",MRPL9,Homo sapiens (Human),267
Q7Z7H8,RM10_HUMAN,reviewed,"39S ribosomal protein L10, mitochondrial (L10mt) (MRP-L10) (39S ribosomal protein L8, mitochondrial) (L8mt) (MRP-L8)",MRPL10 MRPL8 RPML8,Homo sapiens (Human),261
Q9Y3B7,RM11_HUMAN,reviewed,"39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11)",MRPL11 CGI-113,Homo sapiens (Human),192
P52815,RM12_HUMAN,reviewed,"39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12) (5c5-2)",MRPL12 RPML12,Homo sapiens (Human),198
Q9BYD1,RM13_HUMAN,reviewed,"39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13)",MRPL13,Homo sapiens (Human),178
Q6P1L8,RM14_HUMAN,reviewed,"39S ribosomal protein L14, mitochondrial (L14mt) (MRP-L14) (39S ribosomal protein L32, mitochondrial) (L32mt) (MRP-L32)",MRPL14 MRPL32 RPML32,Homo sapiens (Human),145
Q9P015,RM15_HUMAN,reviewed,"39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15)",MRPL15 HSPC145,Homo sapiens (Human),296
Q9NX20,RM16_HUMAN,reviewed,"39S ribosomal protein L16, mitochondrial (L16mt) (MRP-L16)",MRPL16 PNAS-111,Homo sapiens (Human),251
Q9NRX2,RM17_HUMAN,reviewed,"39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17) (LYST-interacting protein 2)",MRPL17 LIP2,Homo sapiens (Human),175
Q9H0U6,RM18_HUMAN,reviewed,"39S ribosomal protein L18, mitochondrial (L18mt) (MRP-L18)",MRPL18 HSPC071,Homo sapiens (Human),180
P49406,RM19_HUMAN,reviewed,"39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15)",MRPL19 KIAA0104 MRPL15,Homo sapiens (Human),292
Q9BYC9,RM20_HUMAN,reviewed,"39S ribosomal protein L20, mitochondrial (L20mt) (MRP-L20)",MRPL20,Homo sapiens (Human),149
Q7Z2W9,RM21_HUMAN,reviewed,"39S ribosomal protein L21, mitochondrial (L21mt) (MRP-L21)",MRPL21,Homo sapiens (Human),205
Q9NWU5,RM22_HUMAN,reviewed,"39S ribosomal protein L22, mitochondrial (L22mt) (MRP-L22) (39S ribosomal protein L25, mitochondrial) (L25mt) (MRP-L25)",MRPL22 MRPL25 RPML25 HSPC158,Homo sapiens (Human),206
Q16540,RM23_HUMAN,reviewed,"39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Ribosomal protein L23-like)",MRPL23 L23MRP RPL23L,Homo sapiens (Human),153
Q96A35,RM24_HUMAN,reviewed,"39S ribosomal protein L24, mitochondrial (L24mt) (MRP-L24)",MRPL24,Homo sapiens (Human),216
Q9P0M9,RM27_HUMAN,reviewed,"39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27)",MRPL27 HSPC250,Homo sapiens (Human),148
Q13084,RM28_HUMAN,reviewed,"39S ribosomal protein L28, mitochondrial (L28mt) (MRP-L28) (Melanoma antigen p15) (Melanoma-associated antigen recognized by T-lymphocytes)",MRPL28 MAAT1,Homo sapiens (Human),256
Q8TCC3,RM30_HUMAN,reviewed,"39S ribosomal protein L30, mitochondrial (L30mt) (MRP-L30) (39S ribosomal protein L28, mitochondrial) (L28mt) (MRP-L28)",MRPL30 MRPL28 RPML28 HSPC249,Homo sapiens (Human),161
Q9BYC8,RM32_HUMAN,reviewed,"39S ribosomal protein L32, mitochondrial (L32mt) (MRP-L32)",MRPL32 HSPC283,Homo sapiens (Human),188
O75394,RM33_HUMAN,reviewed,"39S ribosomal protein L33, mitochondrial (L33mt) (MRP-L33)",MRPL33 C2orf1,Homo sapiens (Human),65
Q9BQ48,RM34_HUMAN,reviewed,"39S ribosomal protein L34, mitochondrial (L34mt) (MRP-L34)",MRPL34,Homo sapiens (Human),92
Q9NZE8,RM35_HUMAN,reviewed,"39S ribosomal protein L35, mitochondrial (L35mt) (MRP-L35)",MRPL35 BM-007,Homo sapiens (Human),188
Q9P0J6,RM36_HUMAN,reviewed,"39S ribosomal protein L36, mitochondrial (L36mt) (MRP-L36) (BRCA1-interacting protein 1)",MRPL36 BRIP1,Homo sapiens (Human),103
Q9BZE1,RM37_HUMAN,reviewed,"39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37) (39S ribosomal protein L2, mitochondrial) (L2mt) (MRP-L2)",MRPL37 MRPL2 RPML2 HSPC235,Homo sapiens (Human),423
Q96DV4,RM38_HUMAN,reviewed,"39S ribosomal protein L38, mitochondrial (L38mt) (MRP-L38)",MRPL38 HSPC262,Homo sapiens (Human),380
Q9NYK5,RM39_HUMAN,reviewed,"39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5)",MRPL39 C21orf92 MRPL5 RPML5 MSTP003 PRED22,Homo sapiens (Human),338
Q9NQ50,RM40_HUMAN,reviewed,"39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome) (Up-regulated in metastasis)",MRPL40 NLVCF URIM,Homo sapiens (Human),206
Q8IXM3,RM41_HUMAN,reviewed,"39S ribosomal protein L41, mitochondrial (L41mt) (MRP-L41) (39S ribosomal protein L27 homolog) (Bcl-2-interacting mitochondrial ribosomal protein L41) (Cell proliferation-inducing gene 3 protein) (MRP-L27 homolog)",MRPL41 BMRP MRPL27 RPML27 PIG3,Homo sapiens (Human),137
Q9Y6G3,RM42_HUMAN,reviewed,"39S ribosomal protein L42, mitochondrial (L42mt) (MRP-L42) (28S ribosomal protein S32, mitochondrial) (MRP-S32) (S32mt) (39S ribosomal protein L31, mitochondrial) (L31mt) (MRP-L31)",MRPL42 MRPL31 MRPS32 RPML31 HSPC204 PTD007,Homo sapiens (Human),142
Q8N983,RM43_HUMAN,reviewed,"39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial ribosomal protein bMRP36a)",MRPL43,Homo sapiens (Human),215
Q9H9J2,RM44_HUMAN,reviewed,"39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-)",MRPL44,Homo sapiens (Human),332
Q9BRJ2,RM45_HUMAN,reviewed,"39S ribosomal protein L45, mitochondrial (L45mt) (MRP-L45)",MRPL45,Homo sapiens (Human),306
Q9H2W6,RM46_HUMAN,reviewed,"39S ribosomal protein L46, mitochondrial (L46mt) (MRP-L46) (P2ECSL)",MRPL46 C15orf4 LIECG2,Homo sapiens (Human),279
Q9HD33,RM47_HUMAN,reviewed,"39S ribosomal protein L47, mitochondrial (L47mt) (MRP-L47) (Nasopharyngeal carcinoma metastasis-related protein 1)",MRPL47 NCM1 CGI-204,Homo sapiens (Human),250
Q96GC5,RM48_HUMAN,reviewed,"39S ribosomal protein L48, mitochondrial (L48mt) (MRP-L48)",MRPL48 CGI-118 HSPC290,Homo sapiens (Human),212
Q13405,RM49_HUMAN,reviewed,"39S ribosomal protein L49, mitochondrial (L49mt) (MRP-L49) (Neighbor of FAU) (NOF) (Protein NOF1)",MRPL49 C11orf4 NOF1 OK/SW-cl.67,Homo sapiens (Human),166
Q8N5N7,RM50_HUMAN,reviewed,"39S ribosomal protein L50, mitochondrial (L50mt) (MRP-L50)",MRPL50,Homo sapiens (Human),158
Q4U2R6,RM51_HUMAN,reviewed,"39S ribosomal protein L51, mitochondrial (L51mt) (MRP-L51) (bMRP-64) (bMRP64)",MRPL51 MRP64 CDA09 HSPC241,Homo sapiens (Human),128
Q86TS9,RM52_HUMAN,reviewed,"39S ribosomal protein L52, mitochondrial (L52mt) (MRP-L52)",MRPL52,Homo sapiens (Human),123
Q96EL3,RM53_HUMAN,reviewed,"39S ribosomal protein L53, mitochondrial (L53mt) (MRP-L53)",MRPL53,Homo sapiens (Human),112
Q6P161,RM54_HUMAN,reviewed,"39S ribosomal protein L54, mitochondrial (L54mt) (MRP-L54)",MRPL54,Homo sapiens (Human),138
Q7Z7F7,RM55_HUMAN,reviewed,"39S ribosomal protein L55, mitochondrial (L55mt) (MRP-L55)",MRPL55 UNQ5835/PRO19675,Homo sapiens (Human),128
Q96TC7,RMD3_HUMAN,reviewed,Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51),FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274,Homo sapiens (Human),470
O94763,RMP_HUMAN,reviewed,Unconventional prefoldin RPB5 interactor 1 (Protein NNX3) (Protein phosphatase 1 regulatory subunit 19) (RNA polymerase II subunit 5-mediating protein) (RPB5-mediating protein),URI1 C19orf2 NNX3 PPP1R19 RMP URI,Homo sapiens (Human),535
Q96GF1,RN185_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF185 (EC 6.3.2.-) (RING finger protein 185),RNF185,Homo sapiens (Human),192
Q05823,RN5A_HUMAN,reviewed,2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L),RNASEL RNS4,Homo sapiens (Human),741
Q99942,RNF5_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF5 (EC 6.3.2.-) (Protein G16) (RING finger protein 5) (Ram1 homolog) (HsRma1),RNF5 G16 NG2 RMA1,Homo sapiens (Human),180
P60602,ROMO1_HUMAN,reviewed,Reactive oxygen species modulator 1 (ROS modulator 1) (Epididymis tissue protein Li 175) (Glyrichin) (Mitochondrial targeting GxxxG motif protein) (MTGM) (Protein MGR2 homolog),ROMO1 C20orf52,Homo sapiens (Human),79
O00411,RPOM_HUMAN,reviewed,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",POLRMT,Homo sapiens (Human),1230
Q969S9,RRF2M_HUMAN,reviewed,"Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2) (Elongation factor G2) (hEFG2)",GFM2 EFG2 MSTP027,Homo sapiens (Human),779
Q96E11,RRFM_HUMAN,reviewed,"Ribosome-recycling factor, mitochondrial (RRF) (Ribosome-releasing factor, mitochondrial)",MRRF,Homo sapiens (Human),262
Q9HA92,RSAD1_HUMAN,reviewed,"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial (EC 1.3.99.-) (Oxygen-independent coproporphyrinogen-III oxidase-like protein RSAD1)",RSAD1,Homo sapiens (Human),442
Q9Y399,RT02_HUMAN,reviewed,"28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt)",MRPS2 CGI-91,Homo sapiens (Human),296
P82675,RT05_HUMAN,reviewed,"28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt)",MRPS5,Homo sapiens (Human),430
P82932,RT06_HUMAN,reviewed,"28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)",MRPS6 C21orf101 RPMS6,Homo sapiens (Human),125
Q9Y2R9,RT07_HUMAN,reviewed,"28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt) (bMRP-27a) (bMRP27a)",MRPS7,Homo sapiens (Human),242
P82933,RT09_HUMAN,reviewed,"28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt)",MRPS9 RPMS9,Homo sapiens (Human),396
P82664,RT10_HUMAN,reviewed,"28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt)",MRPS10 MSTP040,Homo sapiens (Human),201
P82912,RT11_HUMAN,reviewed,"28S ribosomal protein S11, mitochondrial (MRP-S11) (S11mt) (Cervical cancer proto-oncogene 2 protein) (HCC-2)",MRPS11 RPMS11 HCC2,Homo sapiens (Human),194
O15235,RT12_HUMAN,reviewed,"28S ribosomal protein S12, mitochondrial (MRP-S12) (S12mt) (MT-RPS12)",MRPS12 RPMS12 RPSM12,Homo sapiens (Human),138
O60783,RT14_HUMAN,reviewed,"28S ribosomal protein S14, mitochondrial (MRP-S14) (S14mt)",MRPS14,Homo sapiens (Human),128
P82914,RT15_HUMAN,reviewed,"28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt)",MRPS15 RPMS15 DC37,Homo sapiens (Human),257
Q9Y3D3,RT16_HUMAN,reviewed,"28S ribosomal protein S16, mitochondrial (MRP-S16) (S16mt)",MRPS16 RPMS16 CGI-132,Homo sapiens (Human),137
Q9Y2R5,RT17_HUMAN,reviewed,"28S ribosomal protein S17, mitochondrial (MRP-S17) (S17mt)",MRPS17 RPMS17 HSPC011,Homo sapiens (Human),130
Q9NVS2,RT18A_HUMAN,reviewed,"28S ribosomal protein S18a, mitochondrial (MRP-S18-a) (Mrps18a) (S18mt-a) (28S ribosomal protein S18-3, mitochondrial) (MRP-S18-3)",MRPS18A,Homo sapiens (Human),196
Q9Y676,RT18B_HUMAN,reviewed,"28S ribosomal protein S18b, mitochondrial (MRP-S18-b) (Mrps18-b) (S18mt-b) (28S ribosomal protein S18-2, mitochondrial) (MRP-S18-2)",MRPS18B C6orf14 HSPC183 PTD017,Homo sapiens (Human),258
Q9Y3D5,RT18C_HUMAN,reviewed,"28S ribosomal protein S18c, mitochondrial (MRP-S18-c) (Mrps18-c) (S18mt-c) (28S ribosomal protein S18-1, mitochondrial) (MRP-S18-1)",MRPS18C CGI-134,Homo sapiens (Human),142
P82921,RT21_HUMAN,reviewed,"28S ribosomal protein S21, mitochondrial (MRP-S21) (S21mt)",MRPS21 RPMS21 MDS016,Homo sapiens (Human),87
P82650,RT22_HUMAN,reviewed,"28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt)",MRPS22 C3orf5 RPMS22 GK002,Homo sapiens (Human),360
Q9Y3D9,RT23_HUMAN,reviewed,"28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt)",MRPS23 CGI-138 HSPC329,Homo sapiens (Human),190
Q96EL2,RT24_HUMAN,reviewed,"28S ribosomal protein S24, mitochondrial (MRP-S24) (S24mt) (bMRP-47) (bMRP47)",MRPS24 HSPC335,Homo sapiens (Human),167
P82663,RT25_HUMAN,reviewed,"28S ribosomal protein S25, mitochondrial (MRP-S25) (S25mt)",MRPS25 RPMS25,Homo sapiens (Human),173
Q9BYN8,RT26_HUMAN,reviewed,"28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt) (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt)",MRPS26 C20orf193 RPMS13,Homo sapiens (Human),205
Q92552,RT27_HUMAN,reviewed,"28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt)",MRPS27 KIAA0264,Homo sapiens (Human),414
Q9Y2Q9,RT28_HUMAN,reviewed,"28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)",MRPS28 MRPS35 HSPC007,Homo sapiens (Human),187
P51398,RT29_HUMAN,reviewed,"28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein)",DAP3 MRPS29,Homo sapiens (Human),398
Q9NP92,RT30_HUMAN,reviewed,"28S ribosomal protein S30, mitochondrial (MRP-S30) (S30mt) (Programmed cell death protein 9)",MRPS30 PDCD9 BM-047,Homo sapiens (Human),439
Q92665,RT31_HUMAN,reviewed,"28S ribosomal protein S31, mitochondrial (MRP-S31) (S31mt) (Imogen 38)",MRPS31 IMOGN38,Homo sapiens (Human),395
Q9Y291,RT33_HUMAN,reviewed,"28S ribosomal protein S33, mitochondrial (MRP-S33) (S33mt)",MRPS33 CGI-139 PTD003,Homo sapiens (Human),106
P82930,RT34_HUMAN,reviewed,"28S ribosomal protein S34, mitochondrial (MRP-S34) (S34mt)",MRPS34,Homo sapiens (Human),218
P82673,RT35_HUMAN,reviewed,"28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt) (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt)",MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213,Homo sapiens (Human),323
P82909,RT36_HUMAN,reviewed,"28S ribosomal protein S36, mitochondrial (MRP-S36) (S36mt)",MRPS36 DC47,Homo sapiens (Human),103
Q8WWV3,RT4I1_HUMAN,reviewed,"Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)",RTN4IP1 NIMP,Homo sapiens (Human),396
Q9BQC6,RT63_HUMAN,reviewed,"Ribosomal protein 63, mitochondrial (hMRP63)",MRP63,Homo sapiens (Human),102
Q9BSK2,S2533_HUMAN,reviewed,Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1),SLC25A33,Homo sapiens (Human),321
Q6PIV7,S2534_HUMAN,reviewed,Solute carrier family 25 member 34,SLC25A34,Homo sapiens (Human),304
Q3KQZ1,S2535_HUMAN,reviewed,Solute carrier family 25 member 35,SLC25A35,Homo sapiens (Human),300
Q96CQ1,S2536_HUMAN,reviewed,Solute carrier family 25 member 36,SLC25A36,Homo sapiens (Human),311
Q96DW6,S2538_HUMAN,reviewed,Solute carrier family 25 member 38,SLC25A38,Homo sapiens (Human),304
Q9BZJ4,S2539_HUMAN,reviewed,Solute carrier family 25 member 39,SLC25A39 CGI-69 PRO2163,Homo sapiens (Human),359
Q8TBP6,S2540_HUMAN,reviewed,Solute carrier family 25 member 40 (Mitochondrial carrier family protein),SLC25A40 MCFP,Homo sapiens (Human),338
Q8N5S1,S2541_HUMAN,reviewed,Solute carrier family 25 member 41,SLC25A41,Homo sapiens (Human),370
Q86VD7,S2542_HUMAN,reviewed,Solute carrier family 25 member 42,SLC25A42,Homo sapiens (Human),318
Q8WUT9,S2543_HUMAN,reviewed,Solute carrier family 25 member 43,SLC25A43,Homo sapiens (Human),341
Q96H78,S2544_HUMAN,reviewed,Solute carrier family 25 member 44,SLC25A44 KIAA0446,Homo sapiens (Human),314
Q8N413,S2545_HUMAN,reviewed,Solute carrier family 25 member 45,SLC25A45,Homo sapiens (Human),288
Q96AG3,S2546_HUMAN,reviewed,Solute carrier family 25 member 46,SLC25A46 TB1,Homo sapiens (Human),418
Q6Q0C1,S2547_HUMAN,reviewed,Solute carrier family 25 member 47 (Hepatocellular carcinoma down-regulated mitochondrial carrier protein),SLC25A47 C14orf68 HDMCP HMFN1655,Homo sapiens (Human),308
Q6ZT89,S2548_HUMAN,reviewed,Solute carrier family 25 member 48,SLC25A48,Homo sapiens (Human),311
Q9H1U9,S2551_HUMAN,reviewed,Solute carrier family 25 member 51 (Mitochondrial carrier triple repeat protein 1),SLC25A51 MCART1,Homo sapiens (Human),297
Q3SY17,S2552_HUMAN,reviewed,Solute carrier family 25 member 52 (Mitochondrial carrier triple repeat protein 2),SLC25A52 MCART2,Homo sapiens (Human),297
Q5H9E4,S2553_HUMAN,reviewed,Solute carrier family 25 member 53 (Mitochondrial carrier triple repeat protein 6),SLC25A53 MCART6,Homo sapiens (Human),307
Q5K4L6,S27A3_HUMAN,reviewed,Long-chain fatty acid transport protein 3 (FATP-3) (Fatty acid transport protein 3) (EC 6.2.1.-) (Solute carrier family 27 member 3) (Very long-chain acyl-CoA synthetase homolog 3) (VLCS-3),SLC27A3 ACSVL3 FATP3 PSEC0067 UNQ367/PRO703,Homo sapiens (Human),730
Q9Y512,SAM50_HUMAN,reviewed,Sorting and assembly machinery component 50 homolog (Transformation-related gene 3 protein) (TRG-3),SAMM50 CGI-51 TRG3,Homo sapiens (Human),469
Q70HW3,SAMC_HUMAN,reviewed,S-adenosylmethionine mitochondrial carrier protein (Mitochondrial S-adenosylmethionine transporter) (Solute carrier family 25 member 26),SLC25A26 SAMC,Homo sapiens (Human),274
Q9UL12,SARDH_HUMAN,reviewed,"Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3) (BPR-2)",SARDH DMGDHL1,Homo sapiens (Human),918
Q6NUK1,SCMC1_HUMAN,reviewed,Calcium-binding mitochondrial carrier protein SCaMC-1 (Mitochondrial ATP-Mg/Pi carrier protein 1) (Mitochondrial Ca(2+)-dependent solute carrier protein 1) (Small calcium-binding mitochondrial carrier protein 1) (Solute carrier family 25 member 24),SLC25A24 APC1 MCSC1 SCAMC1,Homo sapiens (Human),477
Q6KCM7,SCMC2_HUMAN,reviewed,Calcium-binding mitochondrial carrier protein SCaMC-2 (Mitochondrial ATP-Mg/Pi carrier protein 3) (Mitochondrial Ca(2+)-dependent solute carrier protein 3) (Small calcium-binding mitochondrial carrier protein 2) (Solute carrier family 25 member 25),SLC25A25 APC3 KIAA1896 MCSC3 SCAMC2 UNQ549/PRO1106,Homo sapiens (Human),469
Q9BV35,SCMC3_HUMAN,reviewed,Calcium-binding mitochondrial carrier protein SCaMC-3 (Mitochondrial ATP-Mg/Pi carrier protein 2) (Mitochondrial Ca(2+)-dependent solute carrier protein 2) (Small calcium-binding mitochondrial carrier protein 3) (Solute carrier family 25 member 23),SLC25A23 APC2 MCSC2 SCAMC3,Homo sapiens (Human),468
O75880,SCO1_HUMAN,reviewed,"Protein SCO1 homolog, mitochondrial",SCO1 SCOD1,Homo sapiens (Human),301
O43819,SCO2_HUMAN,reviewed,"Protein SCO2 homolog, mitochondrial",SCO2,Homo sapiens (Human),266
P55809,SCOT1_HUMAN,reviewed,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)",OXCT1 OXCT SCOT,Homo sapiens (Human),520
Q9BYC2,SCOT2_HUMAN,reviewed,"Succinyl-CoA:3-ketoacid coenzyme A transferase 2, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 2A) (Testis-specific succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-t)",OXCT2 FKSG25,Homo sapiens (Human),517
A6NFY7,SDHF1_HUMAN,reviewed,"Succinate dehydrogenase assembly factor 1, mitochondrial (SDH assembly factor 1) (LYR motif-containing protein 8)",SDHAF1,Homo sapiens (Human),115
Q9NX18,SDHF2_HUMAN,reviewed,"Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (Succinate dehydrogenase subunit 5, mitochondrial) (hSDH5)",SDHAF2 C11orf79 PGL2 SDH5,Homo sapiens (Human),166
Q12981,SEC20_HUMAN,reviewed,Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8),BNIP1 NIP1 SEC20L TRG8,Homo sapiens (Human),228
O43236,SEPT4_HUMAN,reviewed,Septin-4 (Apoptosis-related protein in the TGF-beta signaling pathway) (ARTS) (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Cerebral protein 7) (Peanut-like protein 2),SEPT4 ARTS PNUTL2 SEP4 hucep-7,Homo sapiens (Human),478
Q9H9B4,SFXN1_HUMAN,reviewed,Sideroflexin-1 (Tricarboxylate carrier protein) (TCC),SFXN1,Homo sapiens (Human),322
Q96NB2,SFXN2_HUMAN,reviewed,Sideroflexin-2,SFXN2,Homo sapiens (Human),322
Q9BWM7,SFXN3_HUMAN,reviewed,Sideroflexin-3,SFXN3,Homo sapiens (Human),325
Q6P4A7,SFXN4_HUMAN,reviewed,Sideroflexin-4 (Breast cancer resistance marker 1),SFXN4 BCRM1,Homo sapiens (Human),337
Q8TD22,SFXN5_HUMAN,reviewed,Sideroflexin-5,SFXN5,Homo sapiens (Human),340
O00141,SGK1_HUMAN,reviewed,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),SGK1 SGK,Homo sapiens (Human),431
P29353,SHC1_HUMAN,reviewed,SHC-transforming protein 1 (SHC-transforming protein 3) (SHC-transforming protein A) (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1),SHC1 SHC SHCA,Homo sapiens (Human),583
Q9Y371,SHLB1_HUMAN,reviewed,Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1),SH3GLB1 KIAA0491 CGI-61,Homo sapiens (Human),365
Q96EB6,SIR1_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 3.5.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)],SIRT1 SIR2L1,Homo sapiens (Human),747
