Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM? 
Q92973,Transportin-1,1.062622837,0.988982743,0.67164326,,,,,
O75976,Carboxypeptidase D,0.720207796,0.789820087,0.595888478,,1,,,
Q9H2P9,Diphthine synthase,,1.117870044,,,,,,
Q9H400,Lck-interacting transmembrane adapter 1,0.789870106,,0.799942349,,,,1,
O95218,Zinc finger Ran-binding domain-containing protein 2,,,0.597765821,,,,,
P68366,Tubulin alpha-4A chain,1.015171965,0.95656892,0.708341225,,,,,
Q13112,Chromatin assembly factor 1 subunit B,,0.788167331,,,,,,
Q13111,Chromatin assembly factor 1 subunit A,,1.173037417,,,,,,
Q5RI15,Protein FAM36A,,,0.803370642,1,,,,1
P54578,Ubiquitin carboxyl-terminal hydrolase 14,,1.018730339,0.676317181,,,,,
Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1,,0.388708328,,,,,,
Q92572,AP-3 complex subunit sigma-1,1.376782432,,1.414156476,,,,,
P57737,Coronin-7,,,0.791370787,,,,,
P08473,Neprilysin,,,0.737170531,,,1,,
Q9UEU0,Vesicle transport through interaction with t-SNAREs homolog 1B,1.102735346,,1.11887896,,,,,
Q8N543,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1,,1.080295077,,,,,,
P61970,Nuclear transport factor 2,,0.84426789,,,,,,
Q96JJ7,Protein disulfide-isomerase TMX3,1.396424154,1.51694016,1.599595026,,1,,,
P61978,Heterogeneous nuclear ribonucleoprotein K,1.010903076,1.032859406,0.613548944,,,,,
Q9UI26,Importin-11,,0.981367501,,,,,,
P04179,"Superoxide dismutase [Mn], mitochondrial",,0.958216713,,1,,,,
Q16719,Kynureninase,,0.927409855,,,,,,
Q05397,Focal adhesion kinase 1,,1.082942103,,,,,,
Q9P265,Disco-interacting protein 2 homolog B,,,1.199002997,,,,,
Q14247,Src substrate cortactin,,0.975321676,0.630170614,,,,,
Q14244,Ensconsin,,0.989619554,,,,,,
Q9NRF9,DNA polymerase epsilon subunit 3,,1.213945706,0.670355114,,,,,
Q5JSH3,WD repeat-containing protein 44,,0.724819566,,,,,,
Q8N4L2,Transmembrane protein 55A,1.294636495,,1.635688405,,,,,1
P24928,DNA-directed RNA polymerase II subunit RPB1,,1.036483412,,,,,,
P54756,Ephrin type-A receptor 5,2.330982695,,2.27213299,,1,,,
O94826,Mitochondrial import receptor subunit TOM70,0.852051881,0.922620758,0.681141887,1,,,,
Q9NZ43,Vesicle transport protein USE1,,,1.057711958,,,,,
Q13200,26S proteasome non-ATPase regulatory subunit 2,,0.976186639,0.641749005,,,,,
Q13206,Probable ATP-dependent RNA helicase DDX10,,0.989837577,0.664734,,,,,
Q8IW52,SLIT and NTRK-like protein 4,1.16465065,,1.336071495,,1,,,
P11233,Ras-related protein Ral-A,0.97312726,0.96653347,0.800701383,,,,,
P63000,Ras-related C3 botulinum toxin substrate 1,,,1.221234827,,,,,
Q8N163,Protein KIAA1967,,0.955522408,0.61448075,,,,,
Q15393,Splicing factor 3B subunit 3,0.956565157,1.053614211,0.713913552,,,,,
Q9UDW1,Cytochrome b-c1 complex subunit 9,,1.195405737,1.181505777,1,,,,
Q15758,Neutral amino acid transporter B(0),0.598737807,0.76695296,0.477490288,,,,,1
P82933,"28S ribosomal protein S9, mitochondrial",,0.861748151,0.590666976,1,,,,
Q15061,WD repeat-containing protein 43,,0.926845619,0.681498525,,,,,
Q9GZR7,ATP-dependent RNA helicase DDX24,,1.093616525,0.456883475,,,,,
O15427,Monocarboxylate transporter 4,0.963739184,1.243945553,0.755540093,,,,,1
Q16795,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial",0.983511906,1.148448051,0.819424059,1,,,,
P62280,40S ribosomal protein S11,0.848927096,1.037545516,0.626040508,,,,,
P14406,"Cytochrome c oxidase subunit 7A2, mitochondrial",1.016499174,0.943222824,0.82697048,1,,,,
Q9H444,Charged multivesicular body protein 4b,1.111349714,1.313763006,1.127963978,,,,,
Q15149,Plectin,0.981623115,0.959212338,0.616577138,,,,,
P25786,Proteasome subunit alpha type-1,,0.996241299,0.634217484,,,,,
P25787,Proteasome subunit alpha type-2,,0.97296755,0.630215147,,,,,
P25788,Proteasome subunit alpha type-3,,0.978228666,0.548966016,,,,,
P25789,Proteasome subunit alpha type-4,,1.014539281,0.661170642,,,,,
Q99541,Perilipin-2,0.817065645,,,,,,,
O75794,Cell division cycle protein 123 homolog,,0.974249121,,,,,,
O60220,Mitochondrial import inner membrane translocase subunit Tim8 A,,,1.121808019,1,,,,
Q03519,Antigen peptide transporter 2,0.846970174,1.016101008,0.818987447,,,,,1
P14735,Insulin-degrading enzyme,,0.790675242,0.415708982,,,,,
P12270,Nucleoprotein TPR,,0.994328835,0.666096876,,,,,
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,,1.039932605,0.621729614,,,,,
O15372,Eukaryotic translation initiation factor 3 subunit H,,1.13979842,0.680057892,,,,,
Q16222,UDP-N-acetylhexosamine pyrophosphorylase,,1.045800544,,,,,,
P61158,Actin-related protein 3,1.096665683,0.995866779,0.728013582,,,,,
Q6WKZ4,Rab11 family-interacting protein 1,,,0.818970748,,,,,
O94779,Contactin-5,3.958600191,,3.414505805,,1,,,
Q12792,Twinfilin-1,,2.193517941,,,,,,
Q02878,60S ribosomal protein L6,0.92087812,0.897791209,0.644253368,,,,,
P67936,Tropomyosin alpha-4 chain,,,0.521357872,,,,,
Q9HCE1,Putative helicase MOV-10,,1.069130015,0.714594243,,,,,
P62191,26S protease regulatory subunit 4,,1.002001775,0.649865012,,,,,
Q9NX24,H/ACA ribonucleoprotein complex subunit 2,,0.995660729,,,,,,
P62195,26S protease regulatory subunit 8,,0.940803702,0.643691725,,,,,
O15511,Actin-related protein 2/3 complex subunit 5,1.116569443,,,,,,,
P11413,Glucose-6-phosphate 1-dehydrogenase,,0.872304169,0.609483188,,,,,
P63220,40S ribosomal protein S21,,0.969775212,0.584082117,,,,,
P11142,Heat shock cognate 71 kDa protein,0.989950618,1.041020122,0.689426211,,,,,
Q96G97,Seipin,,,1.673870233,,,,,1
Q9NQX7,Integral membrane protein 2C,5.601809102,3.347943351,4.629475602,,,1,,
Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",0.7726511,,0.73370258,1,,,,
Q96EK6,Glucosamine 6-phosphate N-acetyltransferase,,1.056438316,,,,,,
Q96EK5,KIF1-binding protein,,0.776514946,,1,,,,
O00429,Dynamin-1-like protein,0.911056408,1.013623523,0.73092488,,,,,
Q03154,Aminoacylase-1,,0.953520548,,,,,,
O95816,BAG family molecular chaperone regulator 2,,1.018516328,0.668039745,,,,,
Q13769,THO complex subunit 5 homolog,,1.128417602,,,,,,
Q8NI60,"Chaperone activity of bc1 complex-like, mitochondrial",,0.694920524,,1,,,,
Q13765,Nascent polypeptide-associated complex subunit alpha,,1.039132767,0.672420607,,,,,
Q9NTX5,Enoyl-CoA hydratase domain-containing protein 1,,0.87526239,0.686495048,,,,,
Q53H12,"Acylglycerol kinase, mitochondrial",0.853244394,0.957603309,0.728982159,1,,,,
O14776,Transcription elongation regulator 1,,0.955396102,0.664633026,,,,,
P61088,Ubiquitin-conjugating enzyme E2 N,,1.238386377,1.055547738,,,,,
O95777,"N-alpha-acetyltransferase 38, NatC auxiliary subunit",,0.724138607,,,,,,
P61086,Ubiquitin-conjugating enzyme E2 K,,0.968758657,0.682312338,,,,,
O95772,MLN64 N-terminal domain homolog,,,0.498017482,,,,,1
P61081,NEDD8-conjugating enzyme Ubc12,0.969019646,1.013027824,0.673099242,,,,,
Q9BUJ2,Heterogeneous nuclear ribonucleoprotein U-like protein 1,0.825668248,0.935631992,0.796240192,,,,,
Q9NYF8,Bcl-2-associated transcription factor 1,,1.002046074,0.672819821,,,,,
P85037,Forkhead box protein K1,,0.959809971,,,,,,
P37268,Squalene synthase,1.574319481,1.372689041,1.624841417,,,,,1
P62263,40S ribosomal protein S14,0.995382064,0.924519438,0.647533313,,,,,
Q96IJ6,Mannose-1-phosphate guanyltransferase alpha,,1.101684201,,,,,,
Q8NE62,"Choline dehydrogenase, mitochondrial",0.552113058,,,1,,,,
P62269,40S ribosomal protein S18,0.953855846,0.895059257,0.617841107,,,,,
O15173,Membrane-associated progesterone receptor component 2,0.85684002,1.067239609,1.051311256,,,,,
O60486,Plexin-C1,1.316894599,1.431525273,1.421434473,,1,,,
O60488,Long-chain-fatty-acid--CoA ligase 4,1.382234097,0.995592897,0.735600517,1,,,1,
P31146,Coronin-1A,1.00237383,1.368348918,0.752767959,,,,,
Q9BU89,Deoxyhypusine hydroxylase,,1.005869065,,,,,,
P09211,Glutathione S-transferase P,,1.010399781,0.768123738,1,,,,
O00203,AP-3 complex subunit beta-1,1.330601895,1.040022238,1.223285141,,,,,
P10721,Mast/stem cell growth factor receptor,1.874067906,,,,1,,,
Q9Y2G3,Probable phospholipid-transporting ATPase IF,1.041715841,,1.084910438,,,,,1
O75165,DnaJ homolog subfamily C member 13,1.02261358,1.115424369,1.109898086,,,,,
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit,,0.983853832,0.739558574,,,,,
Q9H0U3,Magnesium transporter protein 1,1.079292081,,1.198235822,,1,,,1
Q15223,Poliovirus receptor-related protein 1,1.586354684,,1.561843521,,1,,,
Q08945,FACT complex subunit SSRP1,,0.975946951,0.659245952,,,,,
Q8NDZ4,UPF0672 protein C3orf58,1.19090114,,1.189916548,,1,,,
Q9H0A0,N-acetyltransferase 10,1.049880844,1.019855858,0.654908291,,,,,
Q96C36,Pyrroline-5-carboxylate reductase 2,0.933003417,1.11502659,,,,,,
Q9H0A8,COMM domain-containing protein 4,,1.082232328,,,,,,
P07195,L-lactate dehydrogenase B chain,1.016811054,0.996577709,0.662240539,,,,,
Q01844,RNA-binding protein EWS,,1.095997126,0.693072448,,,,,
P09132,Signal recognition particle 19 kDa protein,,,1.142673668,,,,,
Q12893,Transmembrane protein 115,0.934548645,,,,,,,1
Q9BTT6,Leucine-rich repeat-containing protein 1,1.989355986,,1.129591257,,,,,
Q9UGP8,Translocation protein SEC63 homolog,,,0.801041184,,,,,1
Q9UQ49,Sialidase-3,0.953964392,,,,,,,
Q96C90,Protein phosphatase 1 regulatory subunit 14B,,1.579802584,,,,,,
Q9Y2Q3,Glutathione S-transferase kappa 1,,0.92683024,0.668701729,,,,,
Q9BT78,COP9 signalosome complex subunit 4,,1.014722085,0.639467667,,,,,
Q96AQ6,Pre-B-cell leukemia transcription factor-interacting protein 1,2.348682442,,1.732688699,,,,,
P05107,Integrin beta-2,1.598800088,,1.353036249,,1,,,
Q9Y624,Junctional adhesion molecule A,0.825594178,,0.661848393,,1,,,
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3,,0.999561568,0.581068218,,,,,
O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,,1.276867557,1.325954617,1,,,,
O95169,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial",1.068379876,,1.278078326,1,,,,
P06132,Uroporphyrinogen decarboxylase,,0.812997836,,,,,,
Q9NTJ3,Structural maintenance of chromosomes protein 4,,1.035575688,0.67822216,,,,,
Q13948,Protein CASP,0.932921328,,,,,,,
O95163,Elongator complex protein 1,,1.001439995,0.722549625,,,,,
P07686,Beta-hexosaminidase subunit beta,0.852518005,,0.784182031,,1,,,
P18858,DNA ligase 1,,1.03434426,,,,,,
P18859,"ATP synthase-coupling factor 6, mitochondrial",1.016717589,,1.068386178,1,,,,
Q9P0K1,Disintegrin and metalloproteinase domain-containing protein 22,0.748262554,,0.698877494,,1,,,
Q96EY7,"Pentatricopeptide repeat-containing protein 3, mitochondrial",,,0.681384671,1,,,,
P13639,Elongation factor 2,1.038442387,0.969650372,0.63162348,,,,,
Q6NXT4,Zinc transporter 6,,,1.161393183,,,,,1
P52907,F-actin-capping protein subunit alpha-1,1.192319949,1.098430617,0.799973904,,,,,
P62841,40S ribosomal protein S15,,1.102924827,0.731025077,,,,,
Q96CW1,AP-2 complex subunit mu,1.068241211,,1.171002454,,,,,
Q96SB4,Serine/threonine-protein kinase SRPK1,,1.125807061,0.7650533,,,,,
Q9P258,Protein RCC2,0.973082351,0.902941208,0.632942748,,,,,
P04181,"Ornithine aminotransferase, mitochondrial",,0.953648689,1.859497553,1,,,,
O60884,DnaJ homolog subfamily A member 2,,1.083977091,0.789885608,,,,,
Q9NVT9,Armadillo repeat-containing protein 1,1.010729619,0.866656979,1.050635579,,,,,
Q8IY67,Ribonucleoprotein PTB-binding 1,,1.042423194,0.595748243,,,,,
P15880,40S ribosomal protein S2,0.865849757,1.037446792,0.678822121,,,,,
Q9BXS5,AP-1 complex subunit mu-1,1.232469352,1.036127689,1.099671433,,,,,
Q9BXS4,Transmembrane protein 59,,,1.109004222,,1,,,
Q9BXS9,Solute carrier family 26 member 6,0.958421737,,0.794795291,,,,,1
Q2M389,WASH complex subunit 7,,0.879879687,,,,,,
Q9H1E5,Thioredoxin-related transmembrane protein 4,2.015717597,,1.36488875,,1,,,
P55809,"Succinyl-CoA:3-ketoacid-coenzyme A transferase 1, mitochondrial",,1.020576188,0.592410004,1,,,,
P53985,Monocarboxylate transporter 1,0.95670589,0.803638987,0.717242339,,,,,1
Q06323,Proteasome activator complex subunit 1,,0.987817782,0.661014779,,,,,
O15164,Transcription intermediary factor 1-alpha,,0.91296408,,,,,,
O15160,DNA-directed RNA polymerases I and III subunit RPAC1,,1.003633612,0.674636937,,,,,
Q9Y248,DNA replication complex GINS protein PSF2,,,0.721742289,,,,,
Q99829,Copine-1,0.927137454,0.850039251,0.758132461,,,,,
Q99828,Calcium and integrin-binding protein 1,0.942087834,1.030919367,0.820184252,,,,,
Q5VT52,Regulation of nuclear pre-mRNA domain-containing protein 2,,1.062598212,0.718572741,,,,,
P08069,Insulin-like growth factor 1 receptor,1.505869192,,,,1,,,
P22314,Ubiquitin-like modifier-activating enzyme 1,1.111571924,0.969174117,0.672945835,,,,,
Q53GQ0,Estradiol 17-beta-dehydrogenase 12,0.891516846,1.000704227,0.7947771,,,,,1
Q9GZM5,Protein YIPF3,,1.101276352,0.759670461,,,,,1
Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus,,0.929926257,0.712800245,,,,,
P27797,Calreticulin,0.85444318,1.005023819,0.6657519,,1,,,
Q9Y6K0,Choline/ethanolaminephosphotransferase 1,0.946724879,,,,,,,1
P78527,DNA-dependent protein kinase catalytic subunit,0.980037165,0.975254706,0.685565928,,,,,
A2RRP1,Neuroblastoma-amplified sequence,1.272570974,,,,,,,
P05362,Intercellular adhesion molecule 1,1.251899809,1.272405126,1.253071237,,1,,,
P62993,Growth factor receptor-bound protein 2,,0.935233507,0.724746027,,,,,
P62995,Transformer-2 protein homolog beta,,0.804682332,0.665234212,,,,,
Q6P1M0,Long-chain fatty acid transport protein 4,,,0.680119124,,,,,1
Q96AG4,Leucine-rich repeat-containing protein 59,0.876357681,1.151201323,0.788688803,,,1,,
P11908,Ribose-phosphate pyrophosphokinase 2,,0.860200523,0.717866665,,,,,
Q96T88,E3 ubiquitin-protein ligase UHRF1,,0.977925483,,,,,,
O43809,Cleavage and polyadenylation specificity factor subunit 5,,1.075452415,0.693998553,,,,,
Q13162,Peroxiredoxin-4,,1.066758083,0.704914976,,1,,,
Q9BSA9,Transmembrane protein 175,0.922285455,,1.148617102,,,,,1
O43759,Synaptogyrin-1,1.143823563,,,,,,,1
Q9NPJ3,Acyl-coenzyme A thioesterase 13,,0.993475159,,1,,,,
Q99959,Plakophilin-2,0.943774805,,0.767318879,,,,,
Q8WVQ1,Soluble calcium-activated nucleotidase 1,,,2.504218899,,,1,,
Q04656,Copper-transporting ATPase 1,0.938869779,,1.174374084,,,,,1
Q9UI30,tRNA methyltransferase 112 homolog,,0.983971307,0.77160511,,,,,
P31153,S-adenosylmethionine synthase isoform type-2,,0.906035458,0.624600703,,,,,
P52566,Rho GDP-dissociation inhibitor 2,1.137447295,,0.724606864,,,,,
Q7L5D6,Golgi to ER traffic protein 4 homolog,1.153052768,1.163197897,,,,,,
P52565,Rho GDP-dissociation inhibitor 1,0.827807641,0.979914006,0.723554789,,,,,
P42695,Condensin-2 complex subunit D3,,0.993826487,,,,,,
P57081,tRNA (guanine-N(7)-)-methyltransferase subunit WDR4,,1.293353314,,,,,,
P57088,Transmembrane protein 33,0.992093988,0.956582967,1.077726005,,,,,1
P61981,14-3-3 protein gamma,1.123319463,1.003330429,0.645974004,,,,,
O75691,Small subunit processome component 20 homolog,,1.014298518,,,,,,
Q14258,E3 ubiquitin/ISG15 ligase TRIM25,,1.026645514,0.693534471,,,,,
O75694,Nuclear pore complex protein Nup155,1.050142531,0.959692159,0.722979817,,,,,
O75695,Protein XRP2,1.022942298,,0.813615742,,,,,
Q14254,Flotillin-2,1.014199202,1.355923269,1.08065417,,,,,
Q14257,Reticulocalbin-2,,0.81984958,,,1,,,
Q8WU76,Sec1 family domain-containing protein 2,,,0.799643742,,,,,
Q8WU79,Stromal membrane-associated protein 2,1.047671371,,,,,,,
O94832,Myosin-Id,0.822979499,1.030768485,0.734604359,,,,,
Q96HE7,ERO1-like protein alpha,,0.891513991,0.772814583,,1,,,
Q68CP4,Heparan-alpha-glucosaminide N-acetyltransferase,1.029952717,,,,,,,1
Q9UKN8,General transcription factor 3C polypeptide 4,,0.961037475,,,,,,
Q02543,60S ribosomal protein L18a,0.841803724,0.956961274,0.625049403,,,,,
Q05639,Elongation factor 1-alpha 2,,1.035797755,0.723242721,,,,,
Q9H3U5,Major facilitator superfamily domain-containing protein 1,1.326621022,,,,,,,1
P12814,Alpha-actinin-1,,0.94882408,0.620640708,,,,,
Q9H3U1,Protein unc-45 homolog A,,0.90694689,0.655169918,,,,,
Q6P2E9,Enhancer of mRNA-decapping protein 4,1.144963298,0.922284912,0.693815239,,,,,
Q8TED0,U3 small nucleolar RNA-associated protein 15 homolog,,1.051171315,,,,,,
P49189,4-trimethylaminobutyraldehyde dehydrogenase,,0.957298493,,,,,,
Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,0.735005547,0.82483966,0.649636784,1,,,,
Q9H1Y0,Autophagy protein 5,,1.205239893,,,,,,
O43592,Exportin-T,,1.011052677,0.606368115,,,,,
P40121,Macrophage-capping protein,,0.934962677,0.590080143,,,,,
O95563,Brain protein 44,,0.97371321,0.78589192,1,,,,
Q9NUQ8,ATP-binding cassette sub-family F member 3,,1.04410848,,,,,,
Q9NUQ9,Protein FAM49B,1.101595705,1.187692407,0.796448529,,,,,
Q9NUQ7,Ufm1-specific protease 2,,0.766183135,0.720058974,,,,,
Q9NUQ2,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,0.680950098,0.801872002,0.591658734,,,,,1
Q96BP3,Peptidylprolyl isomerase domain and WD repeat-containing protein 1,,1.082586016,,,,,,
Q9BQC3,Diphthamide biosynthesis protein 2,,0.897832616,,,,,,
Q86X52,Chondroitin sulfate synthase 1,3.088474586,,3.793959498,,,1,,
Q86X55,Histone-arginine methyltransferase CARM1,,0.763408548,1.261735388,,,,,
Q52LJ0,Protein FAM98B,,0.965090637,0.606156587,,,,,
P63104,14-3-3 protein zeta/delta,1.093891361,0.961170167,0.663838434,,,,,
P49458,Signal recognition particle 9 kDa protein,,,0.642444661,,,,,
Q9Y5S9,RNA-binding protein 8A,,0.88926855,0.617595814,,,,,
Q9ULX3,RNA-binding protein NOB1,,1.109007517,0.720850391,,,,,
Q13303,Voltage-gated potassium channel subunit beta-2,0.985571058,1.112719588,0.763760816,,,,,
Q9Y5S1,Transient receptor potential cation channel subfamily V member 2,1.569593576,,0.826991366,,,,,1
Q8IXU6,Solute carrier family 35 member F2,1.424585305,,1.608547747,,,,,1
Q86Y82,Syntaxin-12,1.123503069,,1.220357207,,,,,
Q14677,Clathrin interactor 1,0.953853663,0.904180692,1.049861365,,,,,
O60216,Double-strand-break repair protein rad21 homolog,,0.932163053,1.151987136,,,,,
Q96RQ1,Endoplasmic reticulum-Golgi intermediate compartment protein 2,1.761730765,,1.354313276,,,,,1
Q8N3U4,Cohesin subunit SA-2,,1.052729767,0.629983129,,,,,
O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,1.391246295,,0.781247231,,,1,,
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",,1.438977559,,,,,,
P61165,UPF0197 transmembrane protein C11orf10,,,0.699869186,,,,,1
P61160,Actin-related protein 2,1.029531739,1.056166595,0.758679618,,,,,
P61163,Alpha-centractin,,0.938601142,0.74208578,,,,,
Q8TDD1,ATP-dependent RNA helicase DDX54,,0.970666926,,,,,,
P21964,Catechol O-methyltransferase,0.90329528,0.917273854,0.785488046,,,1,,
Q12905,Interleukin enhancer-binding factor 2,0.97006212,1.01222974,0.724178086,,,,,
Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2,,,0.614617718,,,,,
Q92499,ATP-dependent RNA helicase DDX1,,0.982397667,0.673756658,,,,,
Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,,1.051478712,0.65129388,,,,,
Q9H9P8,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",,0.889630433,,1,,,,
Q2NL82,Pre-rRNA-processing protein TSR1 homolog,,0.872609539,0.596579251,,,,,
Q7Z2W4,Zinc finger CCCH-type antiviral protein 1,1.247373985,1.245326196,0.730646038,,,,,
P04406,Glyceraldehyde-3-phosphate dehydrogenase,1.055811734,0.972198607,0.66705629,,,,,
Q8IWE2,Protein NOXP20,,0.638903958,,,,,,
Q8IU68,Transmembrane channel-like protein 8,0.939735346,,0.752653146,,,,,1
Q13418,Integrin-linked protein kinase,,0.981233743,,,,,,
P11171,Protein 4.1,0.973100662,1.084830228,0.779684665,,,,,
P04439,"HLA class I histocompatibility antigen, A-3 alpha chain",1.508699343,1.123046904,1.275153482,,1,,,
P61764,Syntaxin-binding protein 1,,1.067293112,0.571961368,,,,,
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",,1.032962103,0.627113753,1,,,,
P63218,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,0.895315991,,0.640062321,,,,,
P61769,Beta-2-microglobulin,1.159520996,1.020317591,1.068076492,,1,,,
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,1.423291564,1.132808831,0.79753692,,,,,
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,1.140185254,1.075844654,0.729154722,,,,,
Q9NXE4,Sphingomyelin phosphodiesterase 4,,,1.079220207,,,,,
P10606,"Cytochrome c oxidase subunit 5B, mitochondrial",0.920337408,0.967319696,0.689593365,1,,,,
P55036,26S proteasome non-ATPase regulatory subunit 4,,1.494807109,,,,,,
Q6NXE6,Armadillo repeat-containing protein 6,,0.992406926,0.573800298,,,,,
Q96GS4,Uncharacterized protein C17orf59,1.383291152,,1.129574763,,,,,
Q4ZIN3,Membralin,,,2.473081383,,,,,1
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1,,1.039844848,0.625158927,,,,,
Q8NHS3,Major facilitator superfamily domain-containing protein 8,0.739193478,,0.695857143,,,,,1
P62070,Ras-related protein R-Ras2,1.232027982,,,,,,,
Q15785,Mitochondrial import receptor subunit TOM34,,0.99364641,,1,,,,
P06703,Protein S100-A6,,0.926116869,0.549307801,,,,,
Q13576,Ras GTPase-activating-like protein IQGAP2,0.971136875,,,,,,,
Q9BUI4,DNA-directed RNA polymerase III subunit RPC3,,1.17729777,,,,,,
Q13573,SNW domain-containing protein 1,,1.045660118,0.670583448,,,,,
Q9Y2Q9,"28S ribosomal protein S28, mitochondrial",,,0.643290205,1,,,,
Q13427,Peptidyl-prolyl cis-trans isomerase G,,1.169213666,,,,,,
P62277,40S ribosomal protein S13,1.12236853,0.98571015,0.628466228,,,,,
P62273,40S ribosomal protein S29,,1.024724117,0.556664806,,,,,
Q8NE71,ATP-binding cassette sub-family F member 1,0.772885358,0.871178337,0.463938323,,,,,
P62314,Small nuclear ribonucleoprotein Sm D1,,0.943507983,1.050166801,,,,,
Q9HBR0,Putative sodium-coupled neutral amino acid transporter 10,3.142829438,,,,,,,1
Q9NP58,"ATP-binding cassette sub-family B member 6, mitochondrial",0.873125044,0.935542291,0.734454062,1,,,,1
Q53GS9,U4/U6.U5 tri-snRNP-associated protein 2,,1.016259597,0.730696652,,,,,
O95336,6-phosphogluconolactonase,,0.935123186,0.578273818,,,,,
O00231,26S proteasome non-ATPase regulatory subunit 11,0.930210969,0.992819914,0.675683775,,,,,
P80303,Nucleobindin-2,1.05547327,,0.746082552,,1,,,
O00233,26S proteasome non-ATPase regulatory subunit 9,,1.089028256,,,,,,
P05023,Sodium/potassium-transporting ATPase subunit alpha-1,1.002088718,1.044990504,0.797261265,,,,,1
P62312,U6 snRNA-associated Sm-like protein LSm6,,1.017926703,0.664438197,,,,,
Q5T6F2,Ubiquitin-associated protein 2,,0.854651486,,,,,,
Q07065,Cytoskeleton-associated protein 4,,,1.562274476,,,,,
Q9Y6V7,Probable ATP-dependent RNA helicase DDX49,,1.055415594,,,,,,
P37108,Signal recognition particle 14 kDa protein,,1.139540619,0.735332959,,,,,
P00367,"Glutamate dehydrogenase 1, mitochondrial",,0.962311561,,1,,,,
Q9NUM4,Transmembrane protein 106B,1.8341196,,1.849166197,,,,,
P01911,"HLA class II histocompatibility antigen, DRB1-15 beta chain",1.600835414,,,,1,,,
P55327,Tumor protein D52,1.075151593,1.035423299,0.658910629,,,,,
P50991,T-complex protein 1 subunit delta,0.934995906,0.978556345,0.653183351,,,,,
P50990,T-complex protein 1 subunit theta,1.010988897,1.010660323,0.65561728,,,,,
P50995,Annexin A11,0.927707395,1.162795737,1.085531483,,,,,
Q15257,Serine/threonine-protein phosphatase 2A activator,,1.033934072,0.65962113,,,,,
Q5JTJ3,Uncharacterized protein C1orf31,,,1.397505091,1,,,,
Q6IEE7,Transmembrane protein 132E,,1.184917697,1.056160646,,1,,,
Q8TBA6,Golgin subfamily A member 5,0.832734548,,1.259671232,,,,,
Q96TA1,Niban-like protein 1,,0.942063398,0.60952434,,,,,
Q96TA2,ATP-dependent zinc metalloprotease YME1L1,1.104157495,1.10750052,1.061937691,1,,,,
P31040,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.778992698,0.881705027,0.711987531,1,,,,
P51159,Ras-related protein Rab-27A,0.965906637,,1.085144376,,,,,
P09104,Gamma-enolase,,1.187834467,,,,,,
O76071,Probable cytosolic iron-sulfur protein assembly protein CIAO1,,1.027799076,,,,,,
P51151,Ras-related protein Rab-9A,1.123230578,,0.79629358,,,,,
Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha,1.230617596,1.139268246,,,,,,
Q96I24,Far upstream element-binding protein 3,,0.324370208,0.711041255,,,,,
O00303,Eukaryotic translation initiation factor 3 subunit F,1.045856284,0.977975423,0.671645351,,,,,
Q8NBZ7,UDP-glucuronic acid decarboxylase 1,,1.127109032,1.415484216,,,1,,
O95373,Importin-7,,0.953629595,0.632173738,,,,,
O95372,Acyl-protein thioesterase 2,,1.090756541,,,,,,
P21796,Voltage-dependent anion-selective channel protein 1,0.931122033,0.964014736,0.805139936,1,,,,
Q9BVI4,Nucleolar complex protein 4 homolog,,1.061541496,,,,,,1
Q9BV40,Vesicle-associated membrane protein 8,0.909923133,,0.722391383,,,,,
Q13952,Nuclear transcription factor Y subunit gamma,,1.10234641,1.184052542,,,,,
Q969X5,Endoplasmic reticulum-Golgi intermediate compartment protein 1,1.261667836,,1.296849479,,,,,1
O14579,Coatomer subunit epsilon,1.073904966,1.119951336,0.806867719,,,,,
