"Accession","Species","Description","# in DB","Avg Peptide Ratio","# Peptide Ratio","# of peptides"
"P35268","HUMAN","60S ribosomal protein L22","1","1.08204","2","1"
"P00505","HUMAN","Aspartate aminotransferase, mitochondrial","1","1.03784071429","13","7"
"Q06323","HUMAN","Proteasome activator complex subunit 1","1","1.38636","2","1"
"P07437","HUMAN","Tubulin beta chain","1","1.14101","6","2"
"P05107","HUMAN","Integrin beta-2","1","2.35916","2","1"
"[-Q96JQ2]","HUMAN","Calmin","1","0.609558","2","1"
"O60313","HUMAN","Dynamin-like 120 kDa protein, mitochondrial","1","1.22301666667","5","3"
"Q9H0T7","HUMAN","Ras-related protein Rab-17","1","0.674605","2","1"
"Q9Y490","HUMAN","Talin-1","1","0.388402","1","1"
"Q01650","HUMAN","Large neutral amino acids transporter small subunit 1","1","0.996689","3","2"
"P62495","HUMAN","Eukaryotic peptide chain release factor subunit 1","1","1.03402","1","1"
"P39748","HUMAN","Flap endonuclease 1","1","0.867418","2","1"
"P43243","HUMAN","Matrin-3","1","0.880209","4","2"
"Q96RU8","HUMAN","Tribbles homolog 1","1","0.840326","1","1"
"P08107","HUMAN","Heat shock 70 kDa protein 1A/1B","1","0.96615375","7","4"
"Q9HD45","HUMAN","Transmembrane 9 superfamily member 3","1","1.657835","6","2"
"Q14849","HUMAN","StAR-related lipid transfer protein 3","1","3.80948","1","1"
"P30048","HUMAN","Thioredoxin-dependent peroxide reductase, mitochondrial","1","0.809207","2","2"
"Q9Y2H6","HUMAN","Fibronectin type-III domain-containing protein 3A","1","0.967381","1","1"
"P55145","HUMAN","Mesencephalic astrocyte-derived neurotrophic factor","1","1.10978","3","2"
"[-Q0VAM2]","HUMAN","Ras-GEF domain-containing family member 1B","1","0.281951","1","1"
"Q9NWS8","HUMAN","Required for meiotic nuclear division protein 1 homolog","1","1.953055","2","2"
"P30101","HUMAN","Protein disulfide-isomerase A3","1","0.983229","32","15"
"P27797","HUMAN","Calreticulin","1","0.852505857143","17","7"
"O00165","HUMAN","HCLS1-associated protein X-1","1","1.70065","2","1"
"P41250","HUMAN","Glycyl-tRNA synthetase","1","0.9165395","4","2"
"P30084","HUMAN","Enoyl-CoA hydratase, mitochondrial","1","1.24536","2","1"
"O14737","HUMAN","Programmed cell death protein 5","1","2.18003","1","1"
"P13796","HUMAN","Plastin-2","1","2.50016","2","1"
"Q9BUN8","HUMAN","Derlin-1","1","1.041413","6","3"
"Q9UBS4","HUMAN","DnaJ homolog subfamily B member 11","1","1.22764675","6","4"
"P78527","HUMAN","DNA-dependent protein kinase catalytic subunit","1","1.32965956","98","50"
"[-O15540]","HUMAN","Fatty acid-binding protein, brain","1","1.81317","1","1"
"P25205","HUMAN","DNA replication licensing factor MCM3","1","0.654138","1","1"
"Q16186","HUMAN","Proteasomal ubiquitin receptor ADRM1","1","0.798302","2","1"
"P05362","HUMAN","Intercellular adhesion molecule 1","1","1.2950575","6","4"
"P48735","HUMAN","Isocitrate dehydrogenase [NADP], mitochondrial","1","0.9908625","8","4"
"Q02127","HUMAN","Dihydroorotate dehydrogenase, mitochondrial","1","1.07827","3","2"
"P27708","HUMAN","CAD protein","1","1.15233666667","5","3"
"[-Q9NWZ8]","HUMAN","Gem-associated protein 8","1","1.11059","1","1"
"Q6P1M0","HUMAN","Long-chain fatty acid transport protein 4","1","0.742014","1","1"
"P30044","HUMAN","Peroxiredoxin-5, mitochondrial","1","1.283","6","4"
"Q8NBQ5","HUMAN","Estradiol 17-beta-dehydrogenase 11","1","1.07369","2","1"
"P07686","HUMAN","Beta-hexosaminidase subunit beta","1","0.548195","1","1"
"O75608","HUMAN","Acyl-protein thioesterase 1","1","1.06985","2","1"
"Q96AG4","HUMAN","Leucine-rich repeat-containing protein 59","1","1.17482628571","22","7"
"P01130","HUMAN","Low-density lipoprotein receptor","1","0.903508","4","2"
"P17987","HUMAN","T-complex protein 1 subunit alpha","1","1.04507","2","1"
"Q9Y4L1","HUMAN","Hypoxia up-regulated protein 1","1","1.02618057895","40","19"
"Q9Y487","HUMAN","V-type proton ATPase 116 kDa subunit a isoform 2","1","0.937643","2","1"
"O14548","HUMAN","Cytochrome c oxidase subunit 7A-related protein, mitochondrial","1","1.13411","1","1"
"Q92968","HUMAN","Peroxisomal membrane protein PEX13","1","1.2195","2","1"
"Q96HS1","HUMAN","Serine/threonine-protein phosphatase PGAM5, mitochondrial","1","1.36989","4","2"
"P18859","HUMAN","ATP synthase-coupling factor 6, mitochondrial","1","1.40302","2","1"
"Q13162","HUMAN","Peroxiredoxin-4","1","1.45192","12","5"
"Q8WUY1","HUMAN","UPF0670 protein C8orf55","1","0.8557595","14","6"
"Q6ZMW3","HUMAN","Echinoderm microtubule-associated protein-like 6","1","0.889602","1","1"
"P00403","HUMAN","Cytochrome c oxidase subunit 2","1","1.56809333333","4","3"
"Q13283","HUMAN","Ras GTPase-activating protein-binding protein 1","1","0.8806505","4","2"
"Q9NPJ3","HUMAN","Acyl-coenzyme A thioesterase 13","1","1.80026","2","2"
"Q7L2E3","HUMAN","Putative ATP-dependent RNA helicase DHX30","1","0.5968985","2","2"
"P30049","HUMAN","ATP synthase subunit delta, mitochondrial","1","1.084435","5","2"
"P12235","HUMAN","ADP/ATP translocase 1","1","1.08882","1","1"
"Q86UN3","HUMAN","Reticulon-4 receptor-like 2","1","2.0716","1","1"
"Q8WVQ1","HUMAN","Soluble calcium-activated nucleotidase 1","1","0.827072","1","1"
"P84098","HUMAN","60S ribosomal protein L19","1","0.979421666667","5","3"
"Q04656","HUMAN","Copper-transporting ATPase 1","1","1.02454","2","1"
"Q92643","HUMAN","GPI-anchor transamidase","1","1.0004505","3","2"
"O00159","HUMAN","Myosin-Ic","1","1.1202834","6","5"
"Q8N2U0","HUMAN","UPF0451 protein C17orf61","1","1.23302","2","1"
"P48651","HUMAN","Phosphatidylserine synthase 1","1","1.335006","4","3"
"Q15392","HUMAN","24-dehydrocholesterol reductase","1","0.962961333333","5","3"
"P84090","HUMAN","Enhancer of rudimentary homolog","1","1.16146","2","1"
"P61225","HUMAN","Ras-related protein Rap-2b","1","1.05946","1","1"
"P84095","HUMAN","Rho-related GTP-binding protein RhoG","1","1.20721","2","1"
"[-Q8N140]","HUMAN","EP300-interacting inhibitor of differentiation 3","1","1.50175","1","1"
"Q9Y5J7","HUMAN","Mitochondrial import inner membrane translocase subunit Tim9","1","1.46351","1","1"
"P52566","HUMAN","Rho GDP-dissociation inhibitor 2","1","1.023936","3","2"
"Q14498","HUMAN","RNA-binding protein 39","1","0.535789","1","1"
"P01834","HUMAN","Ig kappa chain C region","1","0.8696654","12","5"
"Q9UJZ1","HUMAN","Stomatin-like protein 2","1","1.1648725","9","4"
"Q14554","HUMAN","Protein disulfide-isomerase A5","1","1.98439","1","1"
"Q96KP4","HUMAN","Cytosolic non-specific dipeptidase","1","1.05779","2","1"
"P07099","HUMAN","Epoxide hydrolase 1","1","1.17869","1","1"
"Q13630","HUMAN","GDP-L-fucose synthase","1","0.834803","1","1"
"P61981","HUMAN","14-3-3 protein gamma","1","1.22956","2","1"
"P62136","HUMAN","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit","1","1.10177","2","1"
"P55060","HUMAN","Exportin-2","1","0.84669","2","1"
"Q86VR2","HUMAN","Protein FAM134C","1","1.02554","2","1"
"P30511","HUMAN","HLA class I histocompatibility antigen, alpha chain F","1","1.35409","1","1"
"P13987","HUMAN","CD59 glycoprotein","1","1.3971875","13","4"
"Q14254","HUMAN","Flotillin-2","1","1.662525","3","2"
"Q9NVH1","HUMAN","DnaJ homolog subfamily C member 11","1","1.313327","4","2"
"Q8TCT9","HUMAN","Minor histocompatibility antigen H13","1","3.713321","7","4"
"P12109","HUMAN","Collagen alpha-1(VI) chain","1","1.97319","4","3"
"Q9ULH0","HUMAN","Kinase D-interacting substrate of 220 kDa","1","1.2660055","2","2"
"P05067","HUMAN","Amyloid beta A4 protein","1","0.9919205","3","2"
"P12236","HUMAN","ADP/ATP translocase 3","1","0.9107615","4","2"
"P14314","HUMAN","Glucosidase 2 subunit beta","1","1.334615","11","5"
"Q02223","HUMAN","Tumor necrosis factor receptor superfamily member 17","1","1.0126225","2","2"
"O43504","HUMAN","Hepatitis B virus X-interacting protein","1","1.26612","4","3"
"Q9BVT8","HUMAN","Transmembrane and ubiquitin-like domain-containing protein 1","1","1.16681866667","5","3"
"P00367","HUMAN","Glutamate dehydrogenase 1, mitochondrial","1","1.00244","2","1"
"O94832","HUMAN","Myosin-Id","1","1.0024075","4","2"
"Q96HE7","HUMAN","ERO1-like protein alpha","1","1.08931225","7","4"
"P38606","HUMAN","V-type proton ATPase catalytic subunit A","1","0.977602","1","1"
"P22033","HUMAN","Methylmalonyl-CoA mutase, mitochondrial","1","0.840255","1","1"
"O43292","HUMAN","Glycosylphosphatidylinositol anchor attachment 1 protein","1","1.4932632","5","5"
"P62280","HUMAN","40S ribosomal protein S11","1","1.0775804","8","5"
"Q9Y291","HUMAN","28S ribosomal protein S33, mitochondrial","1","0.902902","2","1"
"Q68CP4","HUMAN","Heparan-alpha-glucosaminide N-acetyltransferase","1","2.19106","1","1"
"Q9Y672","HUMAN","Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase","1","1.05555","1","1"
"P37802","HUMAN","Transgelin-2","1","1.150846","3","3"
"Q9Y295","HUMAN","Developmentally-regulated GTP-binding protein 1","1","1.05164","1","1"
"O96000","HUMAN","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10","1","1.236085","4","2"
"O60239","HUMAN","SH3 domain-binding protein 5","1","1.04132","2","1"
"Q8IUE6","HUMAN","Histone H2A type 2-B","1","0.535825","2","1"
"Q9UNN5","HUMAN","FAS-associated factor 1","1","0.999506","1","1"
"Q9UP65","HUMAN","Cytosolic phospholipase A2 gamma","1","0.95651","1","1"
"P25705","HUMAN","ATP synthase subunit alpha, mitochondrial","1","1.31921630769","27","13"
"Q6UW02","HUMAN","Cytochrome P450 20A1","1","1.06104466667","6","3"
"Q04721","HUMAN","Neurogenic locus notch homolog protein 2","1","0.609557","3","2"
"Q9Y2B0","HUMAN","Protein canopy homolog 2","1","0.931982","2","1"
"[-Q6P5Z2]","HUMAN","Serine/threonine-protein kinase N3","1","0.853012","1","1"
"Q6P2E9","HUMAN","Enhancer of mRNA-decapping protein 4","1","1.02869715385","27","13"
"P31785","HUMAN","Cytokine receptor common subunit gamma","1","1.95547","4","2"
"[-Q7Z589]","HUMAN","Protein EMSY","1","0.678809","1","1"
"Q04837","HUMAN","Single-stranded DNA-binding protein, mitochondrial","1","1.15823","2","1"
"Q14789","HUMAN","Golgin subfamily B member 1","1","1.79331573333","24","15"
"P31949","HUMAN","Protein S100-A11","1","0.555949","1","1"
"O43615","HUMAN","Mitochondrial import inner membrane translocase subunit TIM44","1","1.01083971429","12","7"
"P61916","HUMAN","Epididymal secretory protein E1","1","0.75529","2","1"
"P04233","HUMAN","HLA class II histocompatibility antigen gamma chain","1","4.60333","5","3"
"[-Q8TF47]","HUMAN","Zinc finger protein 90 homolog","1","3.56558","1","1"
"P38117","HUMAN","Electron transfer flavoprotein subunit beta","1","0.918573","3","2"
"P23246","HUMAN","Splicing factor, proline- and glutamine-rich","1","0.434993","5","2"
"Q9Y2Z0","HUMAN","Suppressor of G2 allele of SKP1 homolog","1","1.7459","1","1"
"P13674","HUMAN","Prolyl 4-hydroxylase subunit alpha-1","1","0.6707325","3","2"
"O95562","HUMAN","Vesicle transport protein SFT2B","1","0.885981","4","1"
"Q00610","HUMAN","Clathrin heavy chain 1","1","1.2289387","43","20"
"Q969S3","HUMAN","Zinc finger protein 622","1","1.13365","1","1"
"O76031","HUMAN","ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial","1","2.25788","3","2"
"P61313","HUMAN","60S ribosomal protein L15","1","0.924293285714","19","7"
"Q7Z7N9","HUMAN","Transmembrane protein 179B","1","0.926166","2","1"
"P78357","HUMAN","Contactin-associated protein 1","1","1.03781057143","15","7"
"Q9NUQ2","HUMAN","1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon","1","1.08019","2","1"
"[-A6NDA9]","HUMAN","Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2","1","1.08755","1","1"
"P15153","HUMAN","Ras-related C3 botulinum toxin substrate 2","1","1.3462","4","2"
"O00571","HUMAN","ATP-dependent RNA helicase DDX3X","1","0.861267","2","1"
"P14866","HUMAN","Heterogeneous nuclear ribonucleoprotein L","1","0.803544","5","3"
"Q8N2K0","HUMAN","Monoacylglycerol lipase ABHD12","1","2.029545","6","4"
"Q9C0B5","HUMAN","Probable palmitoyltransferase ZDHHC5","1","0.88956","2","1"
"Q9Y2T2","HUMAN","AP-3 complex subunit mu-1","1","1.607","1","1"
"P30041","HUMAN","Peroxiredoxin-6","1","1.30138","2","1"
"P09496","HUMAN","Clathrin light chain A","1","0.971788","1","1"
"P14868","HUMAN","Aspartyl-tRNA synthetase, cytoplasmic","1","0.843779166667","13","6"
"P63104","HUMAN","14-3-3 protein zeta/delta","1","1.09167166667","3","3"
"O00478","HUMAN","Butyrophilin subfamily 3 member A3","1","0.738022","1","1"
"P11498","HUMAN","Pyruvate carboxylase, mitochondrial","1","1.59595","1","1"
"Q9UKM9","HUMAN","RNA-binding protein Raly","1","0.882872","2","1"
"Q9BU23","HUMAN","Lipase maturation factor 2","1","1.83563","2","1"
"Q9HBG4","HUMAN","V-type proton ATPase 116 kDa subunit a isoform 4","1","0.987814","1","1"
"Q8TAD4","HUMAN","Zinc transporter 5","1","1.24483","3","2"
"Q9UM00","HUMAN","Transmembrane and coiled-coil domain-containing protein 1","1","1.16524975","7","4"
"Q8N9W5","HUMAN","UPF0470 protein C19orf51","1","1.00579","2","1"
"O75131","HUMAN","Copine-3","1","1.34638041667","26","12"
"P13073","HUMAN","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial","1","1.35358333333","7","3"
"Q96IR7","HUMAN","4-hydroxyphenylpyruvate dioxygenase-like protein","1","0.919289","1","1"
"Q14677","HUMAN","Clathrin interactor 1","1","1.334924","10","5"
"Q9NXS2","HUMAN","Glutaminyl-peptide cyclotransferase-like protein","1","10.1848","1","1"
"P59190","HUMAN","Ras-related protein Rab-15","1","1.10936","2","1"
"Q02790","HUMAN","Peptidyl-prolyl cis-trans isomerase FKBP4","1","0.822161","2","1"
"Q96RQ3","HUMAN","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial","1","1.24737","3","2"
"[-Q5VT98]","HUMAN","PRAME family member 20/21","1","0.92738","1","1"
"O60353","HUMAN","Frizzled-6","1","1.237995","3","2"
"O15126","HUMAN","Secretory carrier-associated membrane protein 1","1","1.1147086","5","5"
"O15127","HUMAN","Secretory carrier-associated membrane protein 2","1","0.793452","2","1"
"Q8TEM1","HUMAN","Nuclear pore membrane glycoprotein 210","1","0.8692498","9","5"
"Q9BUR5","HUMAN","Apolipoprotein O","1","0.933733","2","1"
"P61006","HUMAN","Ras-related protein Rab-8A","1","1.03613","4","2"
"P53621","HUMAN","Coatomer subunit alpha","1","0.755925","3","2"
"Q8IY17","HUMAN","Neuropathy target esterase","1","1.50779","1","1"
"[-O95450]","HUMAN","A disintegrin and metalloproteinase with thrombospondin motifs 2","1","1.04771","1","1"
"P07339","HUMAN","Cathepsin D","1","2.240575","2","2"
"Q9BRQ6","HUMAN","Coiled-coil-helix-coiled-coil-helix domain-containing protein 6","1","0.951676","1","1"
"P00387","HUMAN","NADH-cytochrome b5 reductase 3","1","1.32173","4","2"
"P61009","HUMAN","Signal peptidase complex subunit 3","1","1.7645","4","2"
"Q969E2","HUMAN","Secretory carrier-associated membrane protein 4","1","1.07702","2","1"
"Q8IZA0","HUMAN","Dyslexia-associated protein KIAA0319-like protein","1","3.39335","1","1"
"Q9NRP0","HUMAN","Oligosaccharyltransferase complex subunit OSTC","1","1.36569","3","1"
"Q00765","HUMAN","Receptor expression-enhancing protein 5","1","1.246565","4","2"
"P18669","HUMAN","Phosphoglycerate mutase 1","1","1.62961","1","1"
"[-P19012]","HUMAN","Keratin, type I cytoskeletal 15","1","0.945047","2","1"
"Q96IC2","HUMAN","Putative RNA exonuclease NEF-sp","1","1.50836","1","1"
"P36957","HUMAN","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","1","1.020591","4","2"
"P53999","HUMAN","Activated RNA polymerase II transcriptional coactivator p15","1","1.14682","2","1"
"Q99714","HUMAN","3-hydroxyacyl-CoA dehydrogenase type-2","1","1.1411955","2","2"
"Q9NRZ7","HUMAN","1-acyl-sn-glycerol-3-phosphate acyltransferase gamma","1","1.08368","3","2"
"O96011","HUMAN","Peroxisomal membrane protein 11B","1","1.11730333333","13","6"
"P62249","HUMAN","40S ribosomal protein S16","1","0.8428932","12","5"
"Q08J23","HUMAN","tRNA (cytosine-5-)-methyltransferase NSUN2","1","1.1378425","2","2"
"P53618","HUMAN","Coatomer subunit beta","1","1.16542","2","1"
"Q4G0N4","HUMAN","UPF0465 protein C5orf33","1","4.81404","1","1"
"Q7Z2W4","HUMAN","Zinc finger CCCH-type antiviral protein 1","1","0.775533","2","1"
"P04406","HUMAN","Glyceraldehyde-3-phosphate dehydrogenase","1","1.28949233333","11","6"
"Q7Z2W9","HUMAN","39S ribosomal protein L21, mitochondrial","1","1.10257","2","1"
"Q96A57","HUMAN","UPF0414 transmembrane protein C20orf30","1","1.04938","4","1"
"Q9Y4P3","HUMAN","Transducin beta-like protein 2","1","0.943754375","17","8"
"Q8WVC6","HUMAN","Dephospho-CoA kinase domain-containing protein","1","0.650518","1","1"
"Q9C0E8","HUMAN","Protein lunapark","1","1.12191","4","1"
"Q99613","HUMAN","Eukaryotic translation initiation factor 3 subunit C","1","0.990973","1","1"
"Q9NYP7","HUMAN","Elongation of very long chain fatty acids protein 5","1","0.902816","1","1"
"P24539","HUMAN","ATP synthase subunit b, mitochondrial","1","1.21395","6","2"
"P04439","HUMAN","HLA class I histocompatibility antigen, A-3 alpha chain","1","2.03571","2","1"
"Q9Y5L4","HUMAN","Mitochondrial import inner membrane translocase subunit Tim13","1","1.63484","2","1"
"P11177","HUMAN","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","1","1.11572","2","1"
"P63218","HUMAN","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5","1","0.8618735","9","4"
"O95831","HUMAN","Apoptosis-inducing factor 1, mitochondrial","1","1.2368835","12","6"
"P61769","HUMAN","Beta-2-microglobulin","1","1.10032","11","2"
"Q86T03","HUMAN","Transmembrane protein 55B","1","1.20767","1","1"
"P78344","HUMAN","Eukaryotic translation initiation factor 4 gamma 2","1","0.995249","1","1"
"P54819","HUMAN","Adenylate kinase 2, mitochondrial","1","1.53129","6","2"
"Q06830","HUMAN","Peroxiredoxin-1","1","1.17234925","6","4"
"O75251","HUMAN","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial","1","1.20798","2","1"
"Q92600","HUMAN","Cell differentiation protein RCD1 homolog","1","1.64023","1","1"
"[-A7E2U8]","HUMAN","UPF0602 protein C4orf47","1","1.13958","1","1"
"O95445","HUMAN","Apolipoprotein M","1","1.48965","1","1"
"O00116","HUMAN","Alkyldihydroxyacetonephosphate synthase, peroxisomal","1","1.044339","5","3"
"Q99674","HUMAN","Cell growth regulator with EF hand domain protein 1","1","0.682503","1","1"
"Q5BJF2","HUMAN","Transmembrane protein 97","1","1.11977","2","1"
"O75390","HUMAN","Citrate synthase, mitochondrial","1","1.1035585","10","6"
"O75396","HUMAN","Vesicle-trafficking protein SEC22b","1","1.0717765","17","8"
"[-Q96SN8]","HUMAN","CDK5 regulatory subunit-associated protein 2","1","0.8342885","2","2"
"O96005","HUMAN","Cleft lip and palate transmembrane protein 1","1","1.65064","4","2"
"P10070","HUMAN","Zinc finger protein GLI2","1","2.98072","2","1"
"Q4ZIN3","HUMAN","Membralin","1","3.29575","1","1"
"Q8TDL5","HUMAN","Long palate, lung and nasal epithelium carcinoma-associated protein 1","1","1.02069","2","1"
"P49748","HUMAN","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial","1","1.92751","1","1"
"Q15800","HUMAN","C-4 methylsterol oxidase","1","1.53273","2","1"
"P08133","HUMAN","Annexin A6","1","1.09594303846","55","26"
"[-Q6ZU80]","HUMAN","Uncharacterized protein C14orf145","1","0.945192","1","1"
"O75880","HUMAN","Protein SCO1 homolog, mitochondrial","1","0.934198","2","1"
"P15509","HUMAN","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","1","1.08098","1","1"
"P38646","HUMAN","Stress-70 protein, mitochondrial","1","1.0965308","37","15"
"Q9BSJ8","HUMAN","Extended synaptotagmin-1","1","1.19409773333","34","15"
"P08238","HUMAN","Heat shock protein HSP 90-beta","1","1.0911115","7","4"
"Q9UBX3","HUMAN","Mitochondrial dicarboxylate carrier","1","1.266832","7","5"
"[-Q5XUX1]","HUMAN","F-box/WD repeat-containing protein 9","1","1.32489","1","1"
"P62701","HUMAN","40S ribosomal protein S4, X isoform","1","1.1182032","8","5"
"Q9Y3A6","HUMAN","Transmembrane emp24 domain-containing protein 5","1","2.22621333333","6","3"
"P49411","HUMAN","Elongation factor Tu, mitochondrial","1","0.9574952","19","10"
"P49588","HUMAN","Alanyl-tRNA synthetase, cytoplasmic","1","1.07135","3","2"
"Q04917","HUMAN","14-3-3 protein eta","1","1.61612","2","1"
"Q02818","HUMAN","Nucleobindin-1","1","1.273125","5","2"
"O75952","HUMAN","Calcium-binding tyrosine phosphorylation-regulated protein","1","1.34732","1","1"
"O75955","HUMAN","Flotillin-1","1","1.18898033333","6","3"
"Q9HCC0","HUMAN","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","1","0.785773","1","1"
"P09972","HUMAN","Fructose-bisphosphate aldolase C","1","1.61904","1","1"
"Q9H6E4","HUMAN","Coiled-coil domain-containing protein 134","1","1.68281","1","1"
"Q8NE71","HUMAN","ATP-binding cassette sub-family F member 1","1","0.6025975","2","2"
"P20339","HUMAN","Ras-related protein Rab-5A","1","1.53619","2","1"
"P60842","HUMAN","Eukaryotic initiation factor 4A-I","1","0.879259","2","1"
"P00441","HUMAN","Superoxide dismutase [Cu-Zn]","1","1.51668","2","1"
"Q9HBR0","HUMAN","Putative sodium-coupled neutral amino acid transporter 10","1","2.44876666667","4","3"
"O75083","HUMAN","WD repeat-containing protein 1","1","1.00605","2","1"
"Q8NBS9","HUMAN","Thioredoxin domain-containing protein 5","1","0.9745282","27","10"
"P05023","HUMAN","Sodium/potassium-transporting ATPase subunit alpha-1","1","1.11166827778","42","18"
"O94973","HUMAN","AP-2 complex subunit alpha-2","1","1.1715","2","1"
"Q96J42","HUMAN","Thioredoxin domain-containing protein 15","1","2.37625","1","1"
"Q07065","HUMAN","Cytoskeleton-associated protein 4","1","1.9671175","5","4"
"O00238","HUMAN","Bone morphogenetic protein receptor type-1B","1","0.935046","1","1"
"Q9BY67","HUMAN","Cell adhesion molecule 1","1","1.681695","5","2"
"Q5T3J3","HUMAN","Uncharacterized protein C1orf103","1","0.708711","1","1"
"P06733","HUMAN","Alpha-enolase","1","1.3830202","8","5"
"Q86UL3","HUMAN","Glycerol-3-phosphate acyltransferase 4","1","1.32056","2","1"
"P55084","HUMAN","Trifunctional enzyme subunit beta, mitochondrial","1","1.18869555556","15","9"
"Q9BQG0","HUMAN","Myb-binding protein 1A","1","0.898026666667","4","3"
"Q9HCN8","HUMAN","Stromal cell-derived factor 2-like protein 1","1","0.64331","1","1"
"Q9P035","HUMAN","3-hydroxyacyl-CoA dehydratase 3","1","1.65437333333","5","3"
"P01911","HUMAN","HLA class II histocompatibility antigen, DRB1-15 beta chain","1","1.49614","2","1"
"Q8NEW0","HUMAN","Zinc transporter 7","1","0.9861315","4","2"
"P62834","HUMAN","Ras-related protein Rap-1A","1","1.13231","4","1"
"Q8TC07","HUMAN","TBC1 domain family member 15","1","0.781273","1","1"
"P55327","HUMAN","Tumor protein D52","1","7.3740315","2","2"
"P46379","HUMAN","Large proline-rich protein BAT3","1","0.79155","1","1"
"[-Q92673]","HUMAN","Sortilin-related receptor","1","1.0418","2","1"
"Q01082","HUMAN","Spectrin beta chain, brain 1","1","1.34976038095","32","21"
"Q9HC16","HUMAN","DNA dC->dU-editing enzyme APOBEC-3G","1","1.29691","2","1"
"P24534","HUMAN","Elongation factor 1-beta","1","1.3899","2","1"
"P50991","HUMAN","T-complex protein 1 subunit delta","1","0.944544666667","4","3"
"P50990","HUMAN","T-complex protein 1 subunit theta","1","1.1569596","9","5"
"Q13705","HUMAN","Activin receptor type-2B","1","0.779966","1","1"
"P50995","HUMAN","Annexin A11","1","0.94414725","7","4"
"P46782","HUMAN","40S ribosomal protein S5","1","1.013328375","17","8"
"P46781","HUMAN","40S ribosomal protein S9","1","1.09787426667","39","15"
"P26373","HUMAN","60S ribosomal protein L13","1","1.11912066667","14","6"
"[-P46937]","HUMAN","Yorkie homolog","1","0.935175","1","1"
"P61254","HUMAN","60S ribosomal protein L26","1","1.48106","3","1"
"P42704","HUMAN","Leucine-rich PPR motif-containing protein, mitochondrial","1","1.0423959375","28","16"
"Q9Y5U5","HUMAN","Tumor necrosis factor receptor superfamily member 18","1","2.18243","2","1"
"P26572","HUMAN","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","1","2.03543","4","2"
"O60831","HUMAN","PRA1 family protein 2","1","1.06792","2","1"
"Q9P2R7","HUMAN","Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial","1","1.002334","2","2"
"P31040","HUMAN","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","1","1.1621215","7","4"
"P51159","HUMAN","Ras-related protein Rab-27A","1","1.35654","2","1"
"O43707","HUMAN","Alpha-actinin-4","1","1.26603","1","1"
"P59998","HUMAN","Actin-related protein 2/3 complex subunit 4","1","0.854028","4","2"
"Q7Z4W1","HUMAN","L-xylulose reductase","1","1.0141235","4","2"
"P51151","HUMAN","Ras-related protein Rab-9A","1","1.35456","2","1"
"P51659","HUMAN","Peroxisomal multifunctional enzyme type 2","1","1.01101922222","20","9"
"Q9P015","HUMAN","39S ribosomal protein L15, mitochondrial","1","1.63041","1","1"
"Q8WVM8","HUMAN","Sec1 family domain-containing protein 1","1","1.18236","2","2"
"Q8N2G8","HUMAN","GH3 domain-containing protein","1","0.96396225","7","4"
"P56192","HUMAN","Methionyl-tRNA synthetase, cytoplasmic","1","0.728091","4","3"
"Q8NBZ7","HUMAN","UDP-glucuronic acid decarboxylase 1","1","0.66667","2","1"
"Q02218","HUMAN","2-oxoglutarate dehydrogenase, mitochondrial","1","1.07538","1","1"
"Q16864","HUMAN","V-type proton ATPase subunit F","1","0.957591","1","1"
"P20701","HUMAN","Integrin alpha-L","1","4.486825","2","2"
"Q8IV36","HUMAN","UPF0663 transmembrane protein C17orf28","1","2.25953","1","1"
"P55884","HUMAN","Eukaryotic translation initiation factor 3 subunit B","1","0.7516835","8","4"
"P21796","HUMAN","Voltage-dependent anion-selective channel protein 1","1","1.32917571429","19","7"
"O00461","HUMAN","Golgi integral membrane protein 4","1","9.06282","4","3"
"Q9BV40","HUMAN","Vesicle-associated membrane protein 8","1","0.993654","2","1"
"Q96G23","HUMAN","LAG1 longevity assurance homolog 2","1","1.096505","4","2"
"P61619","HUMAN","Protein transport protein Sec61 subunit alpha isoform 1","1","0.855684","8","3"
"P46977","HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","1","1.56813166667","26","12"
"Q9BU61","HUMAN","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3","1","1.21143","1","1"
