Accession,Localization,Description,Norm avg ratio,test,direct sec61?,membrane?,GO
P27144,,"Adenylate kinase isoenzyme 4, mitochondrial",0.919040892,1,,,mitochondrion;mitochondrial matrix;
P27348,cytosol,14-3-3 protein theta,1.158949392,1,,,protein complex;cytoplasm;soluble fraction;
P27361,,Mitogen-activated protein kinase 3,1.094012719,1,,,microtubule cytoskeleton;nucleoplasm;cytosol;nucleoplasm;cytosol;nucleoplasm;nucleus;nucleoplasm;nucleoplasm;cytoplasm;nucleolus;
P27449,,V-type proton ATPase 16 kDa proteolipid subunit,1.193301972,1,,,integral to membrane;vacuolar membrane;proton-transporting ATP synthase complex; coupling factor F(o);vacuole;membrane;proton-transporting V-type ATPase; V0 domain;
P27635,,60S ribosomal protein L10,0.841359581,1,,,cytosolic large ribosomal subunit;cytosol;cytoplasm;endoplasmic reticulum;ribosome;intracellular;
P27694,nucleus,Replication protein A 70 kDa DNA-binding subunit,1.759715011,1,,,male germ cell nucleus;condensed nuclear chromosome;nucleoplasm;nucleoplasm;PML body;nucleus;DNA replication factor A complex;nucleoplasm;nucleoplasm;cytoplasm;actin cytoskeleton;
P27695,cytosol,DNA-(apurinic or apyrimidinic site) lyase,0.918957814,1,,,intracellular;nucleoplasm;perinuclear region of cytoplasm;ribosome;endoplasmic reticulum;centrosome;nucleus;nucleoplasm;cytoplasm;nucleoplasm;nucleus;
P27701,multiTM,CD82 antigen,2.071166285,1,,,plasma membrane;integral to plasma membrane;
P27708,cytosol,CAD protein,1.077287957,1,,,nucleus;nuclear matrix;cytosol;cytosol;cytoplasm;
P27797,secreted,Calreticulin,0.8545103,1,,,extracellular region;nucleus;cytoplasm;microsome;cell surface;intracellular;endoplasmic reticulum lumen;external side of plasma membrane;cytosol;endoplasmic reticulum;polysome;proteinaceous extracellular matrix;MHC class I peptide loading complex;perinuclear region of cytoplasm;extracellular space;
P27816,cytosol,Microtubule-associated protein 4,1.279696257,1,,,microtubule associated complex;microtubule;
P27824,type I,Calnexin,0.954416271,1,,,integral to membrane;membrane;cytoplasm;ribosome;neuronal cell body;melanosome;endoplasmic reticulum;axon;dendritic spine;endoplasmic reticulum membrane;rough endoplasmic reticulum;endoplasmic reticulum;dendrite cytoplasm;
P28062,,Proteasome subunit beta type-8,0.982079038,1,,,proteasome complex;cytoplasm;proteasome core complex;nucleus;
P28065,,Proteasome subunit beta type-9,0.813402523,1,,,proteasome core complex;nucleus;proteasome complex;cytoplasm;
P28066,,Proteasome subunit alpha type-5,0.809313298,1,,,proteasome complex;nucleus;cytoplasm;proteasome core complex; alpha-subunit complex;
P28067,type I,"HLA class II histocompatibility antigen, DM alpha chain",1.861035887,1,,,plasma membrane;plasma membrane;plasma membrane;plasma membrane;integral to membrane;endosome;MHC class II protein complex;lysosomal membrane;late endosome membrane;
P28068,type I,"HLA class II histocompatibility antigen, DM beta chain",1.699874913,1,,,plasma membrane;integral to membrane;plasma membrane;lysosomal membrane;late endosome membrane;plasma membrane;endosome;plasma membrane;MHC class II protein complex;
P28070,,Proteasome subunit beta type-4,0.799276679,1,,,nucleus;intermediate filament cytoskeleton;cytoplasm;centrosome;proteasome complex;proteasome core complex;
P28072,,Proteasome subunit beta type-6,0.778383814,1,,,proteasome core complex;cytoplasm;nucleus;
P28074,,Proteasome subunit beta type-5,0.862917011,1,,,proteasome core complex;cytoplasm;proteasome complex;nucleus;
P28288,,ATP-binding cassette sub-family D member 3,0.700141529,1,,,integral to membrane;integral to peroxisomal membrane;peroxisome;membrane;peroxisome;peroxisomal membrane;
P28331,mito,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.903180594,1,,,membrane;mitochondrial intermembrane space;mitochondrial respiratory chain complex I;mitochondrial respiratory chain complex I;mitochondrion;respiratory chain;mitochondrial inner membrane;
P28340,,DNA polymerase delta catalytic subunit,0.720490288,1,,,nucleoplasm;nucleoplasm;nucleus;
P28482,,Mitogen-activated protein kinase 1,0.90114907,1,,,nucleoplasm;cytosol;microtubule cytoskeleton;nucleoplasm;cytosol;soluble fraction;nucleoplasm;nucleolus;insoluble fraction;dendrite cytoplasm;cytosol;cytoplasm;perikaryon;protein complex;cytosol;axon part;nucleoplasm;nucleus;
P28838,,Cytosol aminopeptidase,0.828015067,1,,,intracellular;cytoplasm;mitochondrion;
P29084,,Transcription initiation factor IIE subunit beta,1.030613044,1,,,nucleoplasm;transcription factor TFIIE complex;nucleoplasm;nucleoplasm;nucleus;
P29144,,Tripeptidyl-peptidase 2,0.751458451,1,,,cytoplasm;
P29320,type I,Ephrin type-A receptor 3,0.931525394,1,,,plasma membrane;extracellular region;integral to plasma membrane;
P29323,type I,Ephrin type-B receptor 2,1.054488305,1,,,neuronal cell body;integral to membrane;integral to plasma membrane;membrane;
P29353,,SHC-transforming protein 1,0.679745589,1,,,cytoplasm;cytosol;cytosol;Shc-EGFR complex;plasma membrane;cytosol;cytosol;cytosol;mitochondrion;mitochondrial matrix;cytosol;
P29401,cytosol,Transketolase,1.090495716,1,,,cytosol;
P29597,,Non-receptor tyrosine-protein kinase TYK2,1.67318048,1,,,cytoskeleton;nucleus;cytoplasm;membrane;
P29692,cytosol,Elongation factor 1-delta,0.982056549,1,,,eukaryotic translation elongation factor 1 complex;cytosol;
P29992,cytosol,Guanine nucleotide-binding protein subunit alpha-11,0.996190749,1,,,plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;protein complex;cytoplasm;plasma membrane;membrane fraction;plasma membrane;
P30040,secreted,Endoplasmic reticulum resident protein 29,0.828533182,1,,,endoplasmic reticulum;melanosome;endoplasmic reticulum lumen;
P30041,,Peroxiredoxin-6,0.789472147,1,,,nucleus;cytoplasmic membrane-bounded vesicle;cytoplasm;cytosol;lysosome;
P30042,,"ES1 protein homolog, mitochondrial",1.192572343,1,,,mitochondrion;centriole;
P30043,,Flavin reductase,0.746186762,1,,,cytosol;cytoplasm;
P30044,,"Peroxiredoxin-5, mitochondrial",0.841963984,1,,,cytoplasm;peroxisome;cytosolic part;mitochondrion;mitochondrion;
P30048,,"Thioredoxin-dependent peroxide reductase, mitochondrial",0.746712096,1,,,mitochondrion;early endosome;mitochondrion;IkappaB kinase complex;cytoplasm;
P30049,mito,"ATP synthase subunit delta, mitochondrial",0.898582503,1,,,mitochondrial proton-transporting ATP synthase complex;mitochondrial proton-transporting ATP synthase complex; catalytic core F(1);mitochondrial inner membrane;membrane;mitochondrial matrix;mitochondrial proton-transporting ATP synthase complex;mitochondrion;
P30050,cytosol,60S ribosomal protein L12,0.944030139,1,,,cytosol;ribosome;
P30084,,"Enoyl-CoA hydratase, mitochondrial",0.806385364,1,,,mitochondrial matrix;mitochondrion;mitochondrion;
P30085,,UMP-CMP kinase,0.843125304,1,,,nucleus;cytoplasm;
P30086,cytosol,Phosphatidylethanolamine-binding protein 1,0.950816771,1,,,mitochondrion;synaptosome;cell surface;neuronal cell body;synaptic vesicle;mitochondrial outer membrane;soluble fraction;rough endoplasmic reticulum;axon terminus;extracellular space;Golgi apparatus;cytoplasm;apical part of cell;
P30101,secreted,Protein disulfide-isomerase A3,0.884430968,1,,,endoplasmic reticulum lumen;endoplasmic reticulum;melanosome;endoplasmic reticulum;
P30153,cytosol,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,1.14027482,1,,,chromosome; centromeric region;nucleus;mitochondrion;cytosol;cytosol;protein phosphatase type 2A complex;cytosol;membrane;cytosol;cytosol;cytosol;microtubule cytoskeleton;soluble fraction;
P30154,unchar.,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,1.42340337,1,,,NA
P30405,,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",0.958094962,1,,,mitochondrion;mitochondrial inner membrane;mitochondrial matrix;membrane fraction;
P30419,,Glycylpeptide N-tetradecanoyltransferase 1,0.780370893,1,,,cytosol;cytoplasm;
P30519,cytosol,Heme oxygenase 2,0.986224704,1,,,plasma membrane;microsome;endoplasmic reticulum;
P30520,,Adenylosuccinate synthetase isozyme 2,0.897826991,1,,,cellular_component;cytoplasm;
P30536,mito,Translocator protein,0.855532256,1,,,mitochondrion;membrane;integral to membrane;mitochondrial outer membrane;
P30566,,Adenylosuccinate lyase,0.866868817,1,,,cytosol;cytoplasm;
P30626,cytosol,Sorcin,1.011798489,1,,,intracellular;vesicle;sarcoplasmic reticulum membrane;cytoplasm;Z disc;plasma membrane;
P30740,,Leukocyte elastase inhibitor,0.747981529,1,,,cytoplasm;
P30825,multiTM,High affinity cationic amino acid transporter 1,0.677206188,1,,,integral to plasma membrane;plasma membrane;
P30837,,"Aldehyde dehydrogenase X, mitochondrial",0.747783148,1,,,mitochondrial matrix;mitochondrion;
P30876,,DNA-directed RNA polymerase II subunit RPB2,1.156687493,1,,,nucleus;nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;DNA-directed RNA polymerase II; core complex;nucleoplasm;nucleoplasm;
P31040,mito,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.779053891,1,,,mitochondrial inner membrane;mitochondrion;mitochondrial respiratory chain complex II;membrane;mitochondrial respiratory chain complex II;mitochondrial inner membrane;mitochondrial inner membrane;mitochondrion;
P31146,cytosol,Coronin-1A,1.002452571,1,,,cytoplasmic vesicle;filamentous actin;cell cortex;phagocytic cup;plasma membrane;phagocytic vesicle membrane;protein complex;immunological synapse;cytoplasm;lamellipodium;phagocytic vesicle;cytoskeleton;plasma membrane;nucleus;cortical actin cytoskeleton;
P31150,,Rab GDP dissociation inhibitor alpha,1.082086656,1,,,cytoplasm;membrane fraction;
P31153,,S-adenosylmethionine synthase isoform type-2,0.789742547,1,,,NA
P31327,,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",0.700913483,1,,,protein complex;mitochondrial nucleoid;mitochondrial matrix;mitochondrion;cytoplasm;mitochondrial inner membrane;
P31350,,Ribonucleoside-diphosphate reductase subunit M2,1.450164824,1,,,cytoplasm;
P31641,multiTM,Sodium- and chloride-dependent taurine transporter,1.141526706,1,,,integral to membrane;plasma membrane;integral to plasma membrane;
P31689,,DnaJ homolog subfamily A member 1,0.950679721,1,,,membrane;
P31785,type I,Cytokine receptor common subunit gamma,1.931245871,1,,,integral to plasma membrane;membrane;external side of plasma membrane;
P31930,mito,"Cytochrome b-c1 complex subunit 1, mitochondrial",0.870097253,1,,,mitochondrial respiratory chain complex III;mitochondrial respiratory chain;mitochondrion;membrane;
P31937,,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",0.981595746,1,,,mitochondrion;mitochondrial matrix;
P31939,,Bifunctional purine biosynthesis protein PURH,0.795792719,1,,,mitochondrion;
P31942,,Heterogeneous nuclear ribonucleoprotein H3,0.805385925,1,,,heterogeneous nuclear ribonucleoprotein complex;nucleus;
P31943,cytosol,Heterogeneous nuclear ribonucleoprotein H,0.520420269,1,,,nucleus;heterogeneous nuclear ribonucleoprotein complex;cytoplasm;nucleoplasm;actin cytoskeleton;spliceosomal complex;nucleolus;
P31946,cytosol,14-3-3 protein beta/alpha,1.07839169,1,,,cytoplasm;cytoplasm;cytosol;melanosome;transcriptional repressor complex;nucleus;perinuclear region of cytoplasm;cytoplasm;cytosol;cytosol;
P31947,,14-3-3 protein sigma,0.763271601,1,,,cytoplasm;extracellular space;extracellular region;nucleus;
P31948,cytosol,Stress-induced-phosphoprotein 1,1.312872011,1,,,cytoplasm;nucleus;Golgi apparatus;
P31949,cytosol,Protein S100-A11,0.94087422,1,,,ruffle;cytoplasm;cytoplasm;nucleus;
P32004,,Neural cell adhesion molecule L1,0.932697722,1,,,presynaptic membrane;plasma membrane;membrane fraction;integral to membrane;external side of plasma membrane;terminal button;
P32119,cytosol,Peroxiredoxin-2,1.137082143,1,,,mitochondrion;cytoplasm;
P32246,,C-C chemokine receptor type 1,1.113110973,1,,,plasma membrane;integral to plasma membrane;plasma membrane;
P32322,mito,"Pyrroline-5-carboxylate reductase 1, mitochondrial",0.824653563,1,,,mitochondrion;
P32856,type IV,Syntaxin-2,0.828955151,1,,,transport vesicle;midbody;soluble fraction;integral to membrane;membrane;basolateral plasma membrane;microsome;
P32929,,Cystathionine gamma-lyase,0.788643577,1,,,cytoplasm;
P32942,type I,Intercellular adhesion molecule 3,0.938928716,1,,,plasma membrane;integral to plasma membrane;
P32969,cytosol,60S ribosomal protein L9,0.953259737,1,,,ribosome;cytosol;nucleolus;intracellular;cytoplasm;
P32970,type II,CD70 antigen TNF family,2.35810825,1,,,extracellular space;plasma membrane;integral to plasma membrane;integral to membrane of membrane fraction;
P33121,,Long-chain-fatty-acid--CoA ligase 1,1.091547467,1,,,soluble fraction;peroxisome;mitochondrion;cytosol;peroxisomal membrane;endoplasmic reticulum membrane;endoplasmic reticulum;plasma membrane;integral to membrane;mitochondrial outer membrane;microsome;
P33176,,Kinesin-1 heavy chain,0.757075016,1,,,neuron projection;microtubule;ciliary rootlet;cytoskeleton;membrane-bounded organelle;kinesin complex;perinuclear region of cytoplasm;cytoplasm;
P33241,cytosol,Lymphocyte-specific protein 1,1.013731277,1,,,plasma membrane;actin cytoskeleton;
P33527,multiTM,Multidrug resistance-associated protein 1,0.960299656,1,,,plasma membrane;membrane fraction;integral to plasma membrane;
P33908,type II,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",2.136808531,1,,,integral to membrane;Golgi membrane;ER-Golgi intermediate compartment;membrane fraction;endoplasmic reticulum;Golgi apparatus;membrane;
P33991,,DNA replication licensing factor MCM4,0.811967405,1,,,nucleoplasm;nucleoplasm;nucleolus;nucleoplasm;nucleoplasm;nucleus;nucleoplasm;nucleus;nucleoplasm;nucleoplasm;
P33992,cytosol,DNA replication licensing factor MCM5,1.15140813,1,,,nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleus;nucleoplasm;nucleoplasm;nucleoplasm;
P33993,cytosol,DNA replication licensing factor MCM7,1.151964577,1,,,nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;nucleoplasm;chromatin;nucleoplasm;nucleus;cytoplasm;MCM complex;
P34741,type I,Syndecan-2,1.114258051,1,,,integral to plasma membrane;synapse;membrane;neuronal cell body;
P34896,,"Serine hydroxymethyltransferase, cytosolic",1.071875537,1,,,mitochondrion;cytosol;cytosol;cytosol;cytoplasm;
P34897,mito,"Serine hydroxymethyltransferase, mitochondrial",0.808193801,1,,,mitochondrial nucleoid;mitochondrial matrix;mitochondrion;mitochondrion;
P34910,type I,Protein EVI2B,1.129650806,1,,,membrane;integral to plasma membrane;
P34932,,Heat shock 70 kDa protein 4,0.778577031,1,,,cytoplasm;cytoplasm;nucleus;
P34949,,Mannose-6-phosphate isomerase,0.863404718,1,,,cytoplasm;
P35221,,Catenin alpha-1,0.99679029,1,,,catenin complex;adherens junction;actin cytoskeleton;plasma membrane;cytoplasm;cell-cell junction;cell-cell junction;
P35232,mito,Prohibitin,0.849400405,1,,,membrane;mitochondrial inner membrane;mitochondrion;nucleus;nucleoplasm;integral to plasma membrane;mitochondrion;
P35237,,Serpin B6,0.816939351,1,,,cytosol;cytoplasm;
P35241,cytosol,Radixin,0.93926082,1,,,filopodium;lamellipodium;stereocilium;cytoskeleton;Golgi apparatus;extrinsic to membrane;plasma membrane;ruffle;apical part of cell;cytoplasm;
P35244,,Replication protein A 14 kDa subunit,0.959794367,1,,,nucleus;nucleoplasm;nucleoplasm;nucleoplasm;DNA replication factor A complex;nucleoplasm;cytoplasm;
P35249,cytosol,Replication factor C subunit 4,1.087158625,1,,,DNA replication factor C complex;nucleoplasm;nucleus;
P35250,cytosol,Replication factor C subunit 2,1.001241859,1,,,DNA replication factor C complex;nucleus;nucleoplasm;
P35268,cytosol,60S ribosomal protein L22,0.825479262,1,,,ribosome;ribonucleoprotein complex;cytosolic large ribosomal subunit;cytoplasm;intracellular;cytosol;
P35270,,Sepiapterin reductase,0.915348087,1,,,cytoplasm;
P35520,,Cystathionine beta-synthase,0.857831208,1,,,cytosol;intracellular membrane-bounded organelle;cytoplasm;nucleolus;nucleus;
P35573,,Glycogen debranching enzyme,0.962084868,1,,,isoamylase complex;inclusion body;cytoplasm;nucleus;
P35579,cytosol,Myosin-9,0.952966127,1,,,plasma membrane;cell leading edge;plasma membrane;stress fiber;cortical cytoskeleton;immunological synapse;stress fiber;protein complex;uropod;stress fiber;actin cytoskeleton;plasma membrane;cell cortex;cytoplasm;cytosol;neuromuscular junction;ruffle;cytoplasm;spindle;plasma membrane;actin cytoskeleton;integrin complex;nucleus;actomyosin contractile ring;cleavage furrow;cell-cell adherens junction;stress fiber;cleavage furrow;stress fiber;myosin complex;
P35580,,Myosin-10,0.909382226,1,,,myosin complex;cleavage furrow;cleavage furrow;cell cortex;midbody;stress fiber;cytoplasm;stress fiber;
P35613,type I,Basigin,0.940313938,1,,,membrane raft;Golgi membrane;plasma membrane;sarcolemma;melanosome;plasma membrane;integral to membrane;plasma membrane;Golgi membrane;mitochondrion;plasma membrane;plasma membrane;plasma membrane;plasma membrane;plasma membrane;
P35637,,RNA-binding protein FUS,1.157632017,1,,,intracellular;nucleolus;nucleus;cytoplasm;
P35658,,Nuclear pore complex protein Nup214,1.096363005,1,,,nucleus;cytosol;nuclear pore;cytosol;
P35659,,Protein DEK,0.934782087,1,,,nucleus;
P35908,cytosol,"Keratin, type II cytoskeletal 2 epidermal",0.975477838,1,,,intermediate filament;keratin filament;
P35998,,26S protease regulatory subunit 7,0.85549497,1,,,cytoplasm;proteasome complex;nucleus;
P36404,,ADP-ribosylation factor-like protein 2,1.082793257,1,,,Golgi apparatus;cytoplasm;intracellular;cytoskeleton;microtubule organizing center;cytosol;
P36507,,Dual specificity mitogen-activated protein kinase kinase 2,0.957407131,1,,,cytosol;extracellular region;
P36542,mito,"ATP synthase subunit gamma, mitochondrial",0.943504237,1,,,membrane;mitochondrial proton-transporting ATP synthase complex; catalytic core F(1);mitochondrion;mitochondrion;mitochondrial inner membrane;mitochondrial proton-transporting ATP synthase complex;mitochondrial matrix;mitochondrion;
P36543,cytosol,V-type proton ATPase subunit E 1,0.880692339,1,,,apical plasma membrane;cytoplasm;proton-transporting two-sector ATPase complex;mitochondrion;cytosol;endosome;proton-transporting two-sector ATPase complex; catalytic domain;
P36551,,"Coproporphyrinogen-III oxidase, mitochondrial",0.893177359,1,,,cytoplasm;mitochondrion;mitochondrial intermembrane space;
P36578,cytosol,60S ribosomal protein L4,0.94720426,1,,,ribonucleoprotein complex;cytosolic large ribosomal subunit;ribosome;cytosol;intracellular;
P36776,,"Lon protease homolog, mitochondrial",0.704065662,1,,,mitochondrion;mitochondrial nucleoid;mitochondrial matrix;mitochondrion;
P36871,,Phosphoglucomutase-1,0.769596157,1,,,cytoplasm;cytosol;
P36873,,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,0.91580305,1,,,MLL5-L complex;nucleus;protein complex;cytoplasm;nucleolus;
P36915,,Guanine nucleotide-binding protein-like 1,0.840897432,1,,,intracellular;extracellular space;
P36952,,Serpin B5,0.774501854,1,,,cytoplasm;extracellular space;extracellular region;
P36957,mito,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",1.024232334,1,,,microsome;oxoglutarate dehydrogenase complex;plasma membrane;mitochondrion;
P37108,,Signal recognition particle 14 kDa protein,0.929751953,1,,,signal recognition particle; endoplasmic reticulum targeting;cytoplasm;
P37198,,Nuclear pore glycoprotein p62,0.822362311,1,,,ribonucleoprotein complex;cytoskeleton;pore complex;nucleus;spindle pole;nuclear pore;nucleocytoplasmic shuttling complex;nuclear pore;nuclear envelope;intracellular membrane-bounded organelle;cytoplasm;nuclear envelope;nuclear envelope;nuclear envelope;nuclear membrane;
P37235,cytosol,Hippocalcin-like protein 1,0.885238397,1,,,NA
P37268,multiTM,Squalene synthase,1.574443151,1,,,integral to membrane;microsome;endoplasmic reticulum;endoplasmic reticulum membrane;membrane;
P37802,unchar.,Transgelin-2,1.204531836,1,,,plasma membrane;nuclear membrane;
P37837,,Transaldolase,0.731571333,1,,,microsome;soluble fraction;cytoplasm;cytosol;
P38117,,Electron transfer flavoprotein subunit beta,0.765711014,1,,,mitochondrion;mitochondrial matrix;
P38159,,Heterogeneous nuclear ribonucleoprotein G,0.677820705,1,,,spliceosomal complex;nucleus;heterogeneous nuclear ribonucleoprotein complex;
P38606,unchar.,V-type proton ATPase catalytic subunit A,0.920692626,1,,,mitochondrion;proton-transporting V-type ATPase; V1 domain;cytosol;plasma membrane;proton-transporting two-sector ATPase complex;integral to plasma membrane;
P38646,mito,"Stress-70 protein, mitochondrial",0.788480264,1,,,cell surface;mitochondrion;mitochondrial nucleoid;mitochondrion;mitochondrion;cytoplasm;
P38919,cytosol,Eukaryotic initiation factor 4A-III,1.020027173,1,,,spliceosomal complex;nuclear speck;cytoplasm;nucleus;
P39019,cytosol,40S ribosomal protein S19,0.983315084,1,,,nucleolus;cytosolic small ribosomal subunit;ribosome;nucleus;cytosol;cytosolic small ribosomal subunit;intracellular;
P39023,cytosol,60S ribosomal protein L3,0.870160692,1,,,intracellular;cytosolic large ribosomal subunit;nucleolus;cytoplasm;ribosome;cytosol;
P39210,,Protein Mpv17,0.933136301,1,,,membrane;mitochondrial inner membrane;integral to membrane;mitochondrion;integral to peroxisomal membrane;
P39656,type I,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,1.00039702,1,,,oligosaccharyltransferase complex;membrane;integral to membrane;protein complex;microsome;endoplasmic reticulum;
P39687,,Acidic leucine-rich nuclear phosphoprotein 32 family member A,0.90724734,1,,,cytoplasm;perinuclear region of cytoplasm;endoplasmic reticulum;nucleus;nucleus;
P39748,cytosol,Flap endonuclease 1,1.061261105,1,,,nucleus;mitochondrion;nucleus;nucleus;
P40121,,Macrophage-capping protein,0.746094893,1,,,cytoplasm;nucleolus;nuclear membrane;melanosome;F-actin capping protein complex;nucleus;
P40189,type I,"Interleukin-6 receptor subunit beta, binds to IL-6",1.27022159,1,,,extracellular space;plasma membrane;external side of plasma membrane;integral to membrane;ciliary neurotrophic factor receptor complex;oncostatin-M receptor complex;interleukin-6 receptor complex;interleukin-6 receptor complex;extracellular region;
P40222,,Alpha-taxilin,1.252038904,1,,,cytoplasm;extracellular region;
P40227,cytosol,T-complex protein 1 subunit zeta,0.931106455,1,,,chaperonin-containing T-complex;cytosol;cytoplasm;
P40261,,Nicotinamide N-methyltransferase,0.781582386,1,,,cytoplasm;
P40429,,60S ribosomal protein L13a,0.753730384,1,,,cytosol;large ribosomal subunit;ribonucleoprotein complex;cytosol;ribosome;intracellular;
P40616,,ADP-ribosylation factor-like protein 1,1.105147232,1,,,cytoplasm;membrane;intracellular;trans-Golgi network;Golgi apparatus;Golgi membrane;
P40763,,Signal transducer and activator of transcription 3,1.010214607,1,,,cytoplasm;nucleolus;nucleus;cytoplasm;nucleus;nucleus;plasma membrane;
P40925,,"Malate dehydrogenase, cytoplasmic",0.775620944,1,,,mitochondrion;cytosol;cytoplasm;soluble fraction;
P40926,mito,"Malate dehydrogenase, mitochondrial",0.904381215,1,,,mitochondrial inner membrane;mitochondrial matrix;mitochondrion;mitochondrion;
P40937,,Replication factor C subunit 5,0.989153431,1,,,nucleoplasm;nucleus;DNA replication factor C complex;
P40938,,Replication factor C subunit 3,0.794509284,1,,,nucleoplasm;nucleus;DNA replication factor C complex;DNA replication factor C complex;
P40939,mito,"Trifunctional enzyme subunit alpha, mitochondrial",0.947451397,1,,,mitochondrial nucleoid;mitochondrion;fatty acid beta-oxidation multienzyme complex;mitochondrial matrix;mitochondrial inner membrane;
P41091,,Eukaryotic translation initiation factor 2 subunit 3,1.051837041,1,,,cytosol;cytosol;
P41214,,Eukaryotic translation initiation factor 2D,0.961552773,1,,,membrane;cytoplasm;
P41240,cytosol,Tyrosine-protein kinase CSK,1.075962234,1,,,cytoplasm;cell-cell junction;plasma membrane;plasma membrane;cytosol;
P41250,cytosol,Glycyl-tRNA synthetase,0.723944346,1,,,stored secretory granule;cytosol;mitochondrial matrix;soluble fraction;mitochondrion;cytoplasm;
P41252,cytosol,"Isoleucyl-tRNA synthetase, cytoplasmic",0.938499075,1,,,soluble fraction;cytosol;cytosol;cytosol;cytosol;cytosol;cytosol;cytoplasm;cytosol;
P41440,multiTM,Folate transporter 1,0.850805212,1,,,integral to plasma membrane;membrane fraction;membrane;
P41567,,Eukaryotic translation initiation factor 1,0.897896786,1,,,cytoplasm;
P42126,,"Enoyl-CoA delta isomerase 1, mitochondrial",0.730513277,1,,,mitochondrial inner membrane;mitochondrion;mitochondrial matrix;mitochondrion;
P42166,,"Lamina-associated polypeptide 2, isoform alpha",0.895633142,1,,,nucleus;chromatin;chromosome;nuclear envelope;
P42224,nucleus,Signal transducer and activator of transcription 1-alpha/beta,1.095013564,1,,,nucleus;dendrite;nucleus;axon;nucleolus;cytoplasm;nucleolus;
P42285,,Superkiller viralicidic activity 2-like 2,0.967481154,1,,,spliceosomal complex;nucleolus;nucleus;
P42345,,Serine/threonine-protein kinase mTOR,0.91827326,1,,,TORC2 complex;dendrite;TORC2 complex;mitochondrial outer membrane;membrane;soluble fraction;nucleus;neuronal cell body;cytosol;cytosol;TORC1 complex;endoplasmic reticulum membrane;mitochondrion;Golgi apparatus;cytoplasm;TORC1 complex;nucleus;endoplasmic reticulum;cytosol;Golgi membrane;endomembrane system;phosphoinositide 3-kinase complex;
P42356,cytosol,Phosphatidylinositol 4-kinase alpha,0.936506429,1,,,Golgi-associated vesicle;
P42695,,Condensin-2 complex subunit D3,0.993826487,1,,,nuclear condensin complex;nucleus;
P42704,mito,"Leucine-rich PPR motif-containing protein, mitochondrial",1.05430216,1,,,condensed nuclear chromosome;nuclear inner membrane;mitochondrion;nucleus;mitochondrial nucleoid;nucleus;cytoplasm;mitochondrion;nuclear outer membrane;nucleoplasm;perinuclear region of cytoplasm;cytoskeleton;membrane;
P42765,,"3-ketoacyl-CoA thiolase, mitochondrial",0.669071867,1,,,mitochondrion;mitochondrial inner membrane;
P42766,cytosol,60S ribosomal protein L35,0.890868532,1,,,cytosolic large ribosomal subunit;nucleolus;cytosol;ribosome;cytoplasm;intracellular;
P42771,,"Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3",0.941409149,1,,,cytoplasm;nucleus;
P42785,,Lysosomal Pro-X carboxypeptidase,1.054023868,1,,,lysosome;
P42892,type II,Endothelin-converting enzyme 1,2.063966093,1,,,early endosome;early endosome;plasma membrane;plasma membrane;intrinsic to endosome membrane;external side of plasma membrane;perinuclear region of cytoplasm;endosome;external side of plasma membrane;Weibel-Palade body;membrane fraction;vesicle;integral to membrane;plasma membrane;
P43007,multiTM,Neutral amino acid transporter A,0.913550262,1,,,integral to membrane;integral to plasma membrane;plasma membrane;melanosome;intermediate filament;
P43034,,Platelet-activating factor acetylhydrolase IB subunit alpha,0.835681813,1,,,cytoplasm;cell leading edge;cytosol;spindle;nuclear membrane;cell cortex;vesicular fraction;cytosol;kinetochore;cytoskeleton;neuronal cell body;cytosol;astral microtubule;perinuclear region of cytoplasm;nucleus;membrane;cytosol;centrosome;motile primary cilium;cytosol;kinetochore;soluble fraction;insoluble fraction;nonmotile primary cilium;cytosol;kinetochore;microtubule associated complex;nuclear envelope;microtubule;growth cone;
P43121,type I,Cell surface glycoprotein MUC18,1.054642359,1,,,plasma membrane;integral to membrane;
P43243,nucleus,Matrin-3,0.967840597,1,,,intracellular;nuclear inner membrane;nucleus;nuclear matrix;
P43246,,DNA mismatch repair protein Msh2,0.940729572,1,,,nucleus;MutSbeta complex;MutSalpha complex;
P43250,cytosol,G protein-coupled receptor kinase 6,0.904972256,1,,,membrane;
